campaign,network_profile,protocol,auth_mode,sig_alg,kem,kem_class,pcap_file,total_bytes,total_packets,ClientHello_bytes,ServerHello_bytes,EncryptedExtensions_bytes,Certificate_bytes,CertificateVerify_bytes,Finished_bytes,CertificateRequest_bytes,NewSessionTicket_bytes
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa65,x448_hqc192_simple_loss1.3_delay62.51ms_20260826_135538,hybride,capture_quic_single_mldsa65_x448_hqc192_simple_loss1.3_delay62.51ms_20260826_135538.pcap,29441,14,4964,9088,115,5503,3313,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa65,x448_mlkem768_simple_loss1.3_delay62.51ms_20260826_135412,hybride,capture_quic_single_mldsa65_x448_mlkem768_simple_loss1.3_delay62.51ms_20260826_135412.pcap,15904,6,1626,1198,115,5503,3313,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa65,x448_simple_loss1.3_delay62.51ms_20260826_135331,classique,capture_quic_single_mldsa65_x448_simple_loss1.3_delay62.51ms_20260826_135331.pcap,13553,6,450,110,115,5503,3313,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa87,P-521_simple_loss1.3_delay62.51ms_20260826_135559,classique,capture_quic_single_mldsa87_P-521_simple_loss1.3_delay62.51ms_20260826_135559.pcap,17035,6,527,187,115,7461,4631,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa87,hqc256_simple_loss1.3_delay62.51ms_20260826_135702,pq_pur,capture_quic_single_mldsa87_hqc256_simple_loss1.3_delay62.51ms_20260826_135702.pcap,46087,23,7631,14475,115,NA,NA,48,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa87,mlkem1024_simple_loss1.3_delay62.51ms_20260826_135641,pq_pur,capture_quic_single_mldsa87_mlkem1024_simple_loss1.3_delay62.51ms_20260826_135641.pcap,19734,6,1954,1622,115,7461,4631,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa87,p521_hqc256_simple_loss1.3_delay62.51ms_20260826_135723,hybride,capture_quic_single_mldsa87_p521_hqc256_simple_loss1.3_delay62.51ms_20260826_135723.pcap,44958,22,7764,14608,115,NA,NA,48,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa87,p521_mlkem1024_simple_loss1.3_delay62.51ms_20260826_135619,hybride,capture_quic_single_mldsa87_p521_mlkem1024_simple_loss1.3_delay62.51ms_20260826_135619.pcap,19879,6,2087,1755,115,7461,4631,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,secp384r1,P-384_simple_loss1.3_delay62.51ms_20260826_134606,classique,capture_quic_single_secp384r1_P-384_simple_loss1.3_delay62.51ms_20260826_134606.pcap,3963,4,491,151,115,439,108,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,secp384r1,hqc192_simple_loss1.3_delay62.51ms_20260826_134748,pq_pur,capture_quic_single_secp384r1_hqc192_simple_loss1.3_delay62.51ms_20260826_134748.pcap,19123,5,4908,9032,115,439,107,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,secp384r1,mlkem768_simple_loss1.3_delay62.51ms_20260826_134727,pq_pur,capture_quic_single_secp384r1_mlkem768_simple_loss1.3_delay62.51ms_20260826_134727.pcap,5951,4,1570,1142,115,439,108,96,NA,NA
