timestamp,protocol,auth_mode,sig_alg,kem,network_profile,role,n_runs,cpu_usec_total,cpu_usec_per_handshake,mem_peak_bytes
2026-08-06T02:02:17+01:00,quic,single,mldsa65,hqc192,simple,server,500,251573476,503146.952,11325440
2026-08-06T02:02:17+01:00,quic,single,mldsa65,hqc192,simple,client,500,23528732,47057.464,5849088
2026-08-06T02:06:36+01:00,quic,single,mldsa65,p384_hqc192,simple,server,500,258903527,517807.054,12169216
2026-08-06T02:06:36+01:00,quic,single,mldsa65,p384_hqc192,simple,client,500,27824158,55648.316,6115328
2026-08-06T02:10:51+01:00,quic,single,mldsa65,x448_hqc192,simple,server,500,254096585,508193.170,11509760
2026-08-06T02:10:51+01:00,quic,single,mldsa65,x448_hqc192,simple,client,500,25060904,50121.808,6008832
2026-08-06T02:14:45+01:00,quic,single,mldsa87,P-521,simple,server,500,219845942,439691.884,10756096
2026-08-06T02:14:45+01:00,quic,single,mldsa87,P-521,simple,client,500,11383448,22766.896,5390336
2026-08-06T02:18:38+01:00,quic,single,mldsa87,p521_mlkem1024,simple,server,500,223144769,446289.538,11837440
2026-08-06T02:18:38+01:00,quic,single,mldsa87,p521_mlkem1024,simple,client,500,14849789,29699.578,6074368
2026-08-06T02:22:29+01:00,quic,single,mldsa87,mlkem1024,simple,server,500,220110928,440221.856,11411456
2026-08-06T02:22:29+01:00,quic,single,mldsa87,mlkem1024,simple,client,500,10939876,21879.752,5582848
2026-08-06T02:29:59+01:00,quic,single,mldsa87,hqc256,simple,server,500,456384466,912768.932,12554240
2026-08-06T02:29:59+01:00,quic,single,mldsa87,hqc256,simple,client,500,34711348,69422.696,5685248
2026-08-06T02:37:31+01:00,quic,single,mldsa87,p521_hqc256,simple,server,500,459017234,918034.468,13828096
2026-08-06T02:37:31+01:00,quic,single,mldsa87,p521_hqc256,simple,client,500,37979410,75958.820,6103040
