P-521,p521_mlkem1024,mlkem1024
16.03,23.29,1040.37
16.39,23.13,9.2
16.52,23.5,4343.69
16.35,23.72,230.04
18.67,23.04,1050.54
17.38,23.04,2249.54
17.27,23.11,9.38
18.08,22.93,219.5
16.8,22.93,2091.75
17.1,23.23,1704.19
17.08,23.51,9.91
17.15,23.15,12.92
17.42,22.96,629.34
17.07,23.03,229.99
17.53,23.03,19.1
17.16,22.98,227.46
17.08,22.74,7161.85
16.91,23.39,9.46
17.31,23.68,9.4
16.81,23.14,9.53
17.03,23.01,7162.62
16.87,23.37,9.61
19.05,23.15,9.52
17.52,22.92,1458.87
17.08,23.03,630.55
16.96,23.56,228.49
