protocol,network,file,flightend_proxy_ms,confirmed_ms,delta_confirm_ms,client_finished_ms,note
quic,simple_loss1.3_delay62.51ms,capture_quic_single_mldsa65_x448_simple_loss1.3_delay62.51ms_20260826_135331.pcap,189.91400000000013,315.93500000000006,126.02099999999994,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_mldsa44_mlkem512_simple_loss1.3_delay62.51ms_20260826_135151.pcap,189.874,315.4939999999999,125.61999999999995,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_secp384r1_x448_mlkem768_simple_loss1.3_delay62.51ms_20260826_134706.pcap,65.88799999999995,193.68600000000004,127.79800000000007,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_ed25519_x25519_simple_loss1.3_delay62.51ms_20260826_134343.pcap,63.684000000000076,189.9200000000001,126.23600000000002,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_ed25519_x25519_mlkem512_simple_loss1.3_delay62.51ms_20260826_134424.pcap,66.07699999999994,192.62899999999993,126.55199999999999,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_mldsa87_P-521_simple_loss1.3_delay62.51ms_20260826_135559.pcap,192.9780000000001,319.22400000000005,126.24599999999997,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_mldsa65_x448_mlkem768_simple_loss1.3_delay62.51ms_20260826_135412.pcap,192.57100000000005,318.16099999999994,125.58999999999986,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_mldsa44_p256_mlkem512_simple_loss1.3_delay62.51ms_20260826_135111.pcap,201.23300000000012,326.87199999999996,125.63899999999984,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_secp384r1_p384_mlkem768_simple_loss1.3_delay62.51ms_20260826_134647.pcap,69.90600000000002,199.60600000000017,129.70000000000016,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_ed25519_p256_mlkem512_simple_loss1.3_delay62.51ms_20260826_134402.pcap,68.53600000000004,196.23000000000002,127.69399999999997,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_mldsa65_p384_hqc192_simple_loss1.3_delay62.51ms_20260826_135517.pcap,239.94500000000008,365.49000000000007,125.54500000000002,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_secp521r1_p521_hqc256_simple_loss1.3_delay62.51ms_20260826_135009.pcap,230.12199999999993,733.0319999999999,502.90999999999997,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_mldsa65_p384_mlkem768_simple_loss1.3_delay62.51ms_20260826_135351.pcap,203.0289999999999,328.67199999999985,125.64299999999994,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_secp521r1_P-521_simple_loss1.3_delay62.51ms_20260826_134848.pcap,64.913,192.93199999999987,128.0189999999999,,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_secp521r1_p521_mlkem1024_simple_loss1.5833_delay83.52ms_20260826_140342.pcap,,,,377.9349999999999,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa44_x25519_simple_loss1.5833_delay83.52ms_20260826_140529.pcap,,,,1231.7569999999998,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_ed25519_p256_mlkem512_simple_loss1.5833_delay83.52ms_20260826_135825.pcap,,,,,Client Finished not found (decryption failed?)
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa87_p521_hqc256_simple_loss1.5833_delay83.52ms_20260826_141211.pcap,,,,,Client Finished not found (decryption failed?)
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa87_P-521_simple_loss1.5833_delay83.52ms_20260826_141047.pcap,,,,346.095,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa65_x448_hqc192_simple_loss1.5833_delay83.52ms_20260826_141026.pcap,,,,578.0240000000001,
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_ed25519_p256_hqc128_simple_loss1.5833_delay83.52ms_20260826_135950.pcap,,,,,Client Finished not found (decryption failed?)
tls,simple_loss1.5833_delay83.52ms,capture_tls_single_mldsa44_p256_hqc128_simple_loss1.5833_delay83.52ms_20260826_140714.pcap,,,,,Client Finished not found (decryption failed?)
