P-384,x448,hqc192,p384_hqc192,x448_hqc192
7.82,11.85,73.7,95.25,112.77
7.73,34.35,80.58,94.58,112.56
10.45,3014.3,82.36,104.48,92.15
7.74,8.08,77.06,134.16,87.0
7.75,8.88,147.38,117.54,82.71
10.48,9.87,79.93,107.8,83.05
10.96,1008.01,89.53,134.28,83.17
1006.95,1009.47,89.79,107.58,83.24
7.43,8.3,79.88,109.19,94.54
7.51,9.18,87.92,151.24,84.36
7.43,12.61,85.37,166.11,91.67
7.76,10.53,81.29,249.91,91.49
7.47,10.18,488.38,113.27,91.14
7.53,9.13,79.08,138.35,82.5
7.91,1008.62,74.92,117.38,85.99
7.42,1007.22,78.23,126.28,79.85
7.77,9.12,77.66,135.71,81.35
7.89,9.49,72.55,117.21,84.17
10.77,7.72,71.64,251.94,90.03
10.76,6.81,153.02,136.36,82.5
7.49,8.55,69.85,136.92,80.99
7.75,7.78,80.27,134.41,84.94
7.33,8.34,86.5,227.0,97.39
1007.02,6.13,80.55,219.63,95.16
1006.92,8.26,81.3,188.0,82.43
1006.51,7.93,95.33,168.51,92.78
7.39,10.38,113.4,110.27,90.45
1006.86,7.16,88.87,134.15,82.63
7.26,7.44,80.82,96.43,80.43
10.69,6.32,83.0,95.06,104.71
7.75,1004.89,178.74,106.41,80.91
10.69,6.05,1046.26,100.31,82.62
9.68,6.5,74.37,95.48,88.89
9.6,6.33,74.66,95.68,83.84
9.7,8.42,79.43,99.74,103.05
10.86,6.63,72.31,104.72,85.25
1008.94,5.56,68.31,133.28,84.51
8.06,6.3,71.15,115.11,81.42
1007.0,6.42,81.41,119.86,82.7
7.51,5.67,104.81,135.49,80.94
7.38,1009.57,88.42,130.83,83.0
7.73,10.34,105.99,106.09,105.52
7.67,10.35,82.23,108.96,106.92
7.53,9.28,74.77,137.33,119.04
10.77,8.47,69.55,108.7,103.81
10.35,8.56,79.4,112.2,156.46
10.1,10.61,80.72,102.45,336.17
7.44,9.99,69.37,108.37,297.01
7.6,10.0,71.33,133.19,206.14
7.51,9.54,69.39,113.64,228.67
10.72,9.02,78.44,104.05,209.93
7.79,8.47,71.08,124.56,251.29
