P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
2.23,1.79,15.81,334.52,261.31
2999.68,1.7,3108.86,28.13,29.68
1.93,2.05,7186.07,28.02,17.27
1001.59,1.92,15.86,22.99,17.33
2.39,1001.75,15.86,28.29,17.21
3000.22,6998.58,44.0,1077.64,17.54
1001.62,1.7,22.6,22.83,1015.81
1001.58,3000.36,15.84,33.68,17.21
6997.93,1.65,1127.04,22.73,3024.64
2.4,1.73,15.73,1920.49,1547.39
2.41,2.39,16.29,23.7,1396.79
1001.55,1.83,15.83,1461.82,17.21
1001.59,1.68,16.19,22.74,17.75
2999.63,1.81,1013.63,3851.61,17.48
2.48,2.15,15.83,174.47,59.89
2.57,,256.81,23.27,3225.53
1001.6,,1379.1,1025.91,1014.86
1.92,,3035.04,117.11,1037.7
2.31,,15.88,22.74,39.41
1001.41,,22.36,23.41,1090.94
1002.17,,15.9,23.22,1038.41
2999.73,,629.03,1042.16,18.45
6999.23,,16.14,32.87,17.53
,,1091.29,33.53,17.2
,,15.94,147.77,1092.08
,,1090.42,22.86,2229.09
,,7059.66,1312.24,1037.6
,,22.36,180.52,17.52
,,15.82,23.19,128.77
,,2022.21,1194.49,1195.85
,,1090.86,27.04,17.38
,,,22.75,17.72
,,,23.08,
,,,23.09,
