P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
4.54,3.44,22.26,6.66,4.7
5.47,4.02,25.76,5.55,4.82
6.02,4.88,16.81,5.76,4.65
7.02,4.0,15.2,5.68,4.92
5.52,3.86,21.33,5.54,4.71
6.72,5.0,23.62,6.11,5.05
6.87,6.12,20.68,5.82,4.59
5.88,5.26,20.41,5.74,5.27
5.89,4.99,19.48,5.5,5.58
7.18,6.42,22.71,5.73,4.71
5.5,5.59,24.25,5.04,4.69
6.44,5.24,21.63,5.03,4.65
7.11,5.95,20.96,5.14,5.39
5.41,7.84,20.42,5.77,7.33
5.86,7.21,21.35,5.41,5.72
7.84,9.09,22.3,5.65,5.19
5.41,5.39,21.51,5.6,5.08
5.34,8.38,21.89,5.87,4.73
7.37,6.02,20.99,6.11,5.1
5.94,5.72,20.97,5.81,4.76
5.56,5.82,24.41,6.85,4.66
5.77,5.91,21.57,6.05,4.94
7.42,5.87,22.22,5.51,4.85
5.35,6.79,21.69,5.86,5.03
6.53,5.67,21.04,5.44,4.53
5.93,5.12,23.53,5.69,4.73
5.44,2.75,22.4,5.57,4.68
5.58,2.69,21.56,6.28,4.85
6.88,2.72,22.04,6.84,4.9
6.17,2.69,20.82,6.02,4.74
6.21,3.06,24.41,6.35,5.01
5.44,3.69,22.44,5.96,5.35
10.46,4.31,22.26,5.69,4.67
5.31,4.29,22.36,6.66,5.49
6.67,4.54,21.06,5.5,5.04
5.69,4.25,23.0,6.39,5.43
5.45,4.34,21.15,5.59,4.82
7.45,5.09,23.5,5.79,4.7
5.85,6.03,21.16,5.63,4.69
5.78,6.33,20.97,5.63,4.21
6.38,2.59,22.04,5.76,3.39
5.63,2.55,20.89,5.66,3.41
5.94,2.44,21.85,5.91,5.25
7.02,3.86,21.58,6.35,4.84
5.74,5.88,22.09,5.61,4.74
5.56,5.96,21.92,5.73,4.62
6.2,6.13,24.44,5.84,5.44
5.62,5.11,23.11,5.7,5.68
6.73,5.35,21.57,5.52,4.57
5.42,3.81,21.74,5.68,4.75
3.03,4.65,22.23,5.79,4.71
2.17,4.25,22.63,6.07,6.06
2.93,4.56,22.27,5.56,4.69
3.79,4.42,27.59,5.36,4.8
3.07,3.46,22.63,5.45,4.68
2.87,4.11,22.32,6.12,5.4
2.76,3.89,11.86,5.89,4.52
2.87,3.75,12.37,5.72,5.4
3.55,5.24,12.76,5.63,3.05
3.15,3.47,24.18,5.6,2.6
2.87,3.96,24.3,5.96,2.87
2.81,3.6,21.83,5.51,3.92
2.83,3.81,10.61,5.4,4.71
2.84,4.33,9.14,5.51,4.97
3.38,3.82,9.34,5.49,4.72
4.42,4.01,9.67,5.53,4.65
5.38,2.36,9.23,6.99,4.67
5.13,3.07,11.43,5.61,4.94
5.52,4.04,10.39,5.5,5.25
6.04,5.61,11.89,6.39,4.77
6.61,5.47,9.43,5.47,4.78
5.61,4.99,10.18,5.63,4.85
5.32,5.23,10.43,5.56,5.56
8.68,5.44,9.89,8.87,5.24
5.51,5.2,12.76,5.96,5.19
5.43,5.18,12.22,5.54,4.79
6.01,5.15,12.4,5.7,4.97
6.81,5.45,12.32,5.63,4.8
6.36,6.2,9.11,6.21,4.75
6.1,5.15,12.5,5.73,4.86
5.99,6.38,20.63,5.66,5.06
6.96,5.31,26.18,5.72,5.64
5.38,5.18,23.81,5.69,5.07
6.51,5.29,10.13,5.68,4.85
5.56,5.57,11.01,5.76,4.69
5.56,5.57,9.08,5.61,4.83
6.81,6.76,10.91,5.67,4.88
5.83,5.13,11.87,5.83,4.65
5.67,5.42,29.15,5.62,4.65
