P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
21.66,6.62,37.92,9.23,6.52
13.99,6.61,42.23,8.84,4.79
13.86,7.52,39.02,8.94,4.97
20.4,7.37,38.12,8.79,4.84
21.75,7.42,35.3,8.84,4.71
19.68,7.42,34.04,8.84,5.79
19.82,7.38,40.5,8.88,6.37
21.81,8.07,37.97,9.07,4.84
19.42,7.98,39.5,9.06,6.15
19.74,7.5,39.57,9.0,5.0
21.66,8.19,38.03,8.85,5.79
20.27,7.52,38.27,8.94,4.79
22.49,7.48,40.13,8.85,5.99
21.39,7.26,42.26,8.98,5.88
20.82,7.32,37.49,8.91,5.02
21.86,7.29,37.08,8.02,5.26
22.85,7.44,36.68,8.15,4.87
21.58,6.54,37.11,8.97,4.74
23.46,6.59,37.74,9.24,6.05
15.97,7.23,40.44,8.81,5.2
8.84,7.36,38.08,8.81,4.8
9.52,7.17,37.42,8.9,5.19
8.68,6.67,37.7,10.85,4.88
7.54,6.64,36.54,9.91,5.29
9.28,6.62,36.56,8.99,5.25
11.99,6.5,39.05,9.05,5.27
11.74,7.38,38.11,8.84,5.41
12.61,7.27,36.97,8.91,4.87
21.33,7.32,44.03,8.54,5.34
24.05,7.29,38.4,8.73,5.82
27.71,6.53,37.62,8.69,4.98
27.55,6.96,38.84,8.86,5.41
32.51,6.68,39.04,8.76,5.57
12.85,7.32,38.28,8.78,3.91
9.77,7.37,37.99,9.5,2.1
8.97,7.71,39.0,8.61,2.14
10.58,7.44,39.29,8.93,2.08
9.49,7.68,38.9,8.9,2.62
12.84,9.8,39.5,8.92,2.48
20.87,7.51,37.85,8.84,2.31
20.99,7.33,38.98,8.87,3.17
19.14,7.93,38.91,9.3,5.4
21.19,7.34,37.32,8.26,4.86
20.02,7.93,38.86,8.86,4.97
29.29,7.77,37.54,8.93,4.38
20.04,8.17,38.35,8.85,5.06
18.07,7.35,41.65,8.93,4.53
18.68,5.76,39.17,8.83,5.3
15.42,5.09,37.63,8.76,4.65
15.46,7.53,40.2,8.99,4.38
16.53,7.39,38.2,8.92,4.31
19.82,8.19,47.92,8.04,4.38
18.62,7.56,40.36,8.29,4.36
24.64,7.66,36.84,8.5,4.47
24.5,9.02,39.1,8.83,4.31
20.7,7.59,37.57,8.68,4.99
19.45,8.99,38.17,8.11,5.07
16.62,7.35,38.19,8.11,4.5
15.25,7.54,39.49,8.91,4.91
15.21,7.34,39.36,8.76,6.11
15.81,7.76,38.51,8.89,5.73
16.86,7.57,37.09,8.88,5.09
19.15,8.01,39.84,8.24,5.0
20.18,8.67,42.2,8.41,5.02
19.71,8.58,40.67,8.69,4.88
25.84,7.99,38.81,8.0,4.82
20.97,7.27,39.47,8.03,5.3
22.75,8.57,37.34,8.56,7.41
21.99,8.12,37.3,8.08,5.04
22.61,7.56,38.53,8.88,4.72
25.17,7.98,37.54,8.76,6.03
20.12,10.56,37.61,8.03,5.02
21.49,8.26,37.88,8.03,5.14
20.77,7.5,39.57,8.12,4.98
