protocol,auth_mode,network_profile,sig_alg,kem,kem_class,role,n_blocks_cpu,cpu_ms_per_handshake_mean,cpu_ms_ci95,cpu_ms_ci95_method,n_blocks_mem,mem_peak_MiB_mean,mem_MiB_ci95,mem_MiB_ci95_method
quic,single,none,secp384r1,p384_mlkem768,hybride,server,4,80.314,"[76.254, 87.188]",bootstrap_blocs,4,9.423,"[9.352, 9.494]",bootstrap_blocs
quic,single,none,secp384r1,x448,classique,client,4,24.328,"[23.851, 24.857]",bootstrap_blocs,4,5.476,"[5.334, 5.617]",bootstrap_blocs
quic,single,none,secp384r1,x448,classique,server,4,64.685,"[63.777, 65.619]",bootstrap_blocs,4,8.378,"[8.292, 8.434]",bootstrap_blocs
quic,single,none,secp384r1,x448_hqc192,hybride,client,4,52.602,"[51.922, 53.776]",bootstrap_blocs,4,5.714,"[5.578, 5.830]",bootstrap_blocs
quic,single,none,secp384r1,x448_hqc192,hybride,server,4,128.61,"[127.298, 130.876]",bootstrap_blocs,4,10.685,"[10.496, 10.873]",bootstrap_blocs
quic,single,none,secp384r1,x448_mlkem768,hybride,client,4,26.606,"[25.727, 28.160]",bootstrap_blocs,4,5.555,"[5.473, 5.637]",bootstrap_blocs
quic,single,none,secp384r1,x448_mlkem768,hybride,server,4,66.198,"[64.639, 67.757]",bootstrap_blocs,4,8.705,"[8.625, 8.830]",bootstrap_blocs
quic,single,none,secp521r1,P-521,classique,client,4,25.771,"[24.599, 27.841]",bootstrap_blocs,4,5.403,"[5.246, 5.561]",bootstrap_blocs
quic,single,none,secp521r1,P-521,classique,server,4,66.892,"[64.649, 70.273]",bootstrap_blocs,4,8.33,"[8.271, 8.430]",bootstrap_blocs
quic,single,none,secp521r1,hqc256,pq_pur,client,4,74.335,"[72.239, 77.947]",bootstrap_blocs,4,5.62,"[5.464, 5.732]",bootstrap_blocs
quic,single,none,secp521r1,hqc256,pq_pur,server,4,181.909,"[176.694, 190.231]",bootstrap_blocs,4,12.167,"[11.916, 12.418]",bootstrap_blocs
quic,single,none,secp521r1,mlkem1024,pq_pur,client,4,24.119,"[23.521, 24.941]",bootstrap_blocs,4,5.526,"[5.409, 5.619]",bootstrap_blocs
quic,single,none,secp521r1,mlkem1024,pq_pur,server,4,62.695,"[62.110, 63.632]",bootstrap_blocs,4,8.623,"[8.411, 8.738]",bootstrap_blocs
quic,single,none,secp521r1,p521_hqc256,hybride,client,4,79.816,"[77.388, 83.777]",bootstrap_blocs,4,6.019,"[5.938, 6.090]",bootstrap_blocs
quic,single,none,secp521r1,p521_hqc256,hybride,server,4,190.41,"[186.467, 196.859]",bootstrap_blocs,4,13.17,"[13.031, 13.293]",bootstrap_blocs
quic,single,none,secp521r1,p521_mlkem1024,hybride,client,4,32.521,"[31.770, 33.675]",bootstrap_blocs,4,5.974,"[5.869, 6.057]",bootstrap_blocs
quic,single,none,secp521r1,p521_mlkem1024,hybride,server,4,76.799,"[75.780, 78.508]",bootstrap_blocs,4,9.35,"[9.217, 9.482]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,ed25519,P-256,classique,client,4,30.187,"[23.291, 37.083]",bootstrap_blocs,4,5.554,"[5.423, 5.650]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,ed25519,P-256,classique,server,4,355.457,"[337.217, 383.971]",bootstrap_blocs,4,9.264,"[9.195, 9.332]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,ed25519,hqc128,pq_pur,client,4,40.843,"[32.305, 49.381]",bootstrap_blocs,4,5.354,"[5.215, 5.516]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,ed25519,hqc128,pq_pur,server,4,390.348,"[372.059, 410.683]",bootstrap_blocs,4,9.474,"[9.264, 9.632]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,ed25519,mlkem512,pq_pur,client,4,30.802,"[23.210, 38.394]",bootstrap_blocs,4,5.401,"[5.305, 5.485]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,ed25519,mlkem512,pq_pur,server,4,356.838,"[342.188, 371.488]",bootstrap_blocs,4,9.103,"[8.971, 9.290]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,ed25519,p256_hqc128,hybride,client,4,50.354,"[38.487, 62.221]",bootstrap_blocs,4,5.718,"[5.579, 5.848]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,ed25519,p256_hqc128,hybride,server,4,414.058,"[399.581, 423.196]",bootstrap_blocs,4,10.256,"[10.119, 10.393]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,ed25519,p256_mlkem512,hybride,client,4,36.48,"[29.903, 43.056]",bootstrap_blocs,4,5.793,"[5.688, 5.969]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,ed25519,p256_mlkem512,hybride,server,4,378.842,"[365.047, 392.636]",bootstrap_blocs,4,9.93,"[9.815, 10.048]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,ed25519,x25519,classique,client,4,29.173,"[23.041, 35.305]",bootstrap_blocs,4,5.344,"[5.238, 5.449]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,ed25519,x25519,classique,server,4,380.789,"[363.146, 392.218]",bootstrap_blocs,4,8.737,"[8.664, 8.811]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,ed25519,x25519_hqc128,hybride,client,4,45.522,"[33.508, 57.536]",bootstrap_blocs,4,5.541,"[5.511, 5.563]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,ed25519,x25519_hqc128,hybride,server,4,401.555,"[373.941, 429.169]",bootstrap_blocs,4,9.706,"[9.646, 9.764]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,ed25519,x25519_mlkem512,hybride,client,4,31.988,"[25.235, 38.742]",bootstrap_blocs,4,5.479,"[5.423, 5.551]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,ed25519,x25519_mlkem512,hybride,server,4,373.861,"[349.883, 397.839]",bootstrap_blocs,4,9.108,"[9.047, 9.170]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa44,P-256,classique,client,4,30.723,"[23.474, 37.973]",bootstrap_blocs,4,5.248,"[5.176, 5.311]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa44,P-256,classique,server,4,494.039,"[478.183, 515.664]",bootstrap_blocs,4,9.608,"[9.485, 9.689]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa44,hqc128,pq_pur,client,4,45.767,"[32.143, 59.390]",bootstrap_blocs,4,5.35,"[5.195, 5.504]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa44,hqc128,pq_pur,server,4,554.41,"[543.480, 568.833]",bootstrap_blocs,4,9.713,"[9.580, 9.830]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa44,mlkem512,pq_pur,client,4,29.325,"[23.484, 35.165]",bootstrap_blocs,4,5.435,"[5.330, 5.537]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa44,mlkem512,pq_pur,server,4,476.45,"[465.525, 485.741]",bootstrap_blocs,4,9.44,"[9.369, 9.512]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa44,p256_hqc128,hybride,client,4,50.126,"[39.865, 60.387]",bootstrap_blocs,4,5.791,"[5.734, 5.836]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa44,p256_hqc128,hybride,server,4,524.003,"[507.317, 540.689]",bootstrap_blocs,4,10.493,"[10.447, 10.557]",bootstrap_blocs
