run_id,duration_ms,success,compress_negotiated
176,17,1,0
177,16,1,0
178,14,1,0
179,13,1,0
180,13,1,0
181,13,1,0
182,13,1,0
183,14,1,0
184,16,1,0
185,14,1,0
186,13,1,0
187,14,1,0
188,13,1,0
189,13,1,0
190,15,1,0
191,13,1,0
192,12,1,0
193,13,1,0
194,13,1,0
195,13,1,0
196,13,1,0
197,13,1,0
198,13,1,0
199,13,1,0
200,13,1,0
201,13,1,0
202,15,1,0
203,17,1,0
204,14,1,0
205,14,1,0
206,14,1,0
207,14,1,0
208,14,1,0
209,14,1,0
210,14,1,0
211,14,1,0
212,14,1,0
213,15,1,0
214,15,1,0
215,14,1,0
216,14,1,0
217,14,1,0
218,14,1,0
219,14,1,0
220,13,1,0
221,13,1,0
222,14,1,0
223,14,1,0
224,14,1,0
225,16,1,0
226,15,1,0
227,16,1,0
228,14,1,0
229,14,1,0
230,16,1,0
231,16,1,0
232,16,1,0
233,16,1,0
234,15,1,0
235,15,1,0
236,14,1,0
237,15,1,0
238,14,1,0
239,13,1,0
240,14,1,0
241,15,1,0
242,15,1,0
243,14,1,0
244,15,1,0
245,15,1,0
246,14,1,0
247,14,1,0
248,13,1,0
249,14,1,0
250,14,1,0
251,13,1,0
252,13,1,0
253,14,1,0
254,14,1,0
255,15,1,0
256,13,1,0
257,13,1,0
258,14,1,0
259,13,1,0
260,14,1,0
261,13,1,0
262,13,1,0
263,13,1,0
264,14,1,0
265,14,1,0
266,14,1,0
267,13,1,0
268,14,1,0
269,14,1,0
270,13,1,0
271,13,1,0
272,14,1,0
273,18,1,0
274,13,1,0
275,15,1,0
276,18,1,0
277,15,1,0
278,14,1,0
279,14,1,0
280,14,1,0
281,18,1,0
282,14,1,0
283,15,1,0
284,14,1,0
285,16,1,0
286,15,1,0
287,14,1,0
288,15,1,0
289,15,1,0
290,14,1,0
291,16,1,0
292,13,1,0
293,13,1,0
294,13,1,0
295,13,1,0
296,14,1,0
297,16,1,0
298,13,1,0
299,13,1,0
300,14,1,0
301,13,1,0
302,13,1,0
303,13,1,0
304,13,1,0
305,13,1,0
306,13,1,0
307,13,1,0
308,13,1,0
309,13,1,0
310,15,1,0
311,14,1,0
312,13,1,0
313,12,1,0
314,13,1,0
315,14,1,0
316,13,1,0
317,14,1,0
318,13,1,0
319,14,1,0
320,14,1,0
321,16,1,0
322,16,1,0
323,13,1,0
324,14,1,0
325,14,1,0
326,13,1,0
327,14,1,0
328,13,1,0
329,13,1,0
330,13,1,0
331,14,1,0
332,16,1,0
333,15,1,0
334,15,1,0
335,15,1,0
336,17,1,0
337,13,1,0
338,13,1,0
339,14,1,0
