procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
19  2      0 10420848 300628 7279596    0    0     0  1544 15013 26852 74 24  1  1  0  0
19  2      0 10403388 300652 7279316    0    0     0  2012 14225 24814 75 25  0  0  0  0
20  0      0 10393920 300660 7279316    0    0     0   460 12659 20204 77 23  0  0  0  0
30  1      0 10411692 300668 7283568    0    0     0   972 14233 22961 75 25  0  0  0  0
20  1      0 10397912 300692 7283632    0    0     0  1252 13542 22521 74 25  0  0  0  0
17 14      0 10429040 300708 7279516    0    0     0  1364 17437 35492 75 22  1  3  0  0
15  1      0 10418760 300708 7279504    0    0     0  1504 13187 20909 75 24  0  0  0  0
19  0      0 10421236 300720 7283648    0    0     0   632 15398 28350 75 24  0  0  0  0
30  1      0 10436088 300728 7283744    0    0     0   580 16606 33784 74 26  0  0  0  0
18  2      0 10414808 300736 7279676    0    0     0  1804 11875 17722 76 24  0  0  0  0
23 19      0 10409184 300740 7279640    0    0     0   824 14500 24753 75 25  0  0  0  0
21  1      0 10410696 300748 7279664    0    0     0  1524 17184 31323 75 25  0  0  0  0
18  1      0 10406120 300748 7283940    0    0     0   408 15152 25902 75 25  1  0  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
18  1      0 10412112 300760 7283988    0    0     0  1668 15656 28764 74 25  0  0  0  0
20  2      0 10397116 300768 7279880    0    0     0   848 14792 28299 76 24  0  0  0  0
15  2      0 10428100 300784 7279856    0    0     0  1412 13241 21047 75 25  0  0  0  0
20  4      0 10440796 300800 7284036    0    0     0  1528 13930 22620 73 27  0  0  0  0
21  1      0 10413484 300804 7284068    0    0     0   740 14329 24473 75 24  0  0  0  0
24 12      0 10424720 300808 7280000    0    0     0  1540 15606 29080 75 25  0  0  0  0
20  1      0 10426304 300812 7280048    0    0     0  1744 13549 22604 74 26  0  0  0  0
15  2      0 10411524 300824 7284188    0    0     0  1256 14817 27385 73 26  0  0  0  0
18  3      0 10412276 300832 7284216    0    0     0  1528 15353 28316 73 27  0  0  0  0
18  1      0 10399992 300848 7280172    0    0     0   784 15543 28621 75 25  0  0  0  0
20  1      0 10425976 300860 7280188    0    0     0  1552 12139 18528 74 26  0  0  0  0
26  1      0 10409508 300860 7280172    0    0     0  1172 13791 22567 76 23  0  0  0  0
22  0      0 10407676 300868 7284116    0    0     0   536 15759 30401 75 24  0  0  0  0
18  1      0 10394368 300872 7284500    0    0     0   396 13967 23220 74 26  0  0  0  0
22  1      0 10389748 300888 7280420    0    0     0  1796 14957 26734 76 24  0  0  0  0
26  1      0 10402924 300888 7280324    0    0     0   568 14569 26354 75 25  0  0  0  0
17  2      0 10420824 300892 7280372    0    0     0  1688 12198 18324 74 26  0  0  0  0
17  1      0 10414952 300920 7284580    0    0     0   644 15830 29541 73 26  0  0  0  0
17 17      0 10407936 300928 7284608    0    0     0  1880 13257 21744 75 25  0  0  0  0
