P-521,p521_mlkem1024,mlkem1024
5.92,15.61,2.87
5.54,16.77,4.79
7.58,16.75,2.93
5.76,15.96,3.65
5.69,25.16,3.1
8.64,24.85,2.87
7.36,24.7,3.09
6.69,18.14,3.59
6.04,19.74,3.06
7.72,19.77,2.84
5.79,17.09,3.95
6.23,23.91,3.41
5.92,30.35,3.67
10.12,20.14,2.97
9.61,18.45,2.94
9.45,25.61,3.09
6.08,24.77,2.7
5.97,30.81,2.97
6.32,23.81,4.41
7.34,19.37,3.54
8.17,16.61,3.46
7.59,25.45,2.99
5.89,16.31,3.12
5.91,15.92,3.07
6.84,16.29,3.29
5.98,16.51,4.19
7.28,16.32,3.84
7.69,16.23,3.06
6.04,18.02,3.11
7.46,15.9,3.01
7.66,17.42,2.9
5.97,24.68,3.97
7.84,16.57,2.89
5.89,16.5,2.99
6.96,16.54,3.71
6.0,15.73,3.01
6.11,16.26,3.5
6.07,16.35,4.57
8.38,16.34,2.72
7.65,17.06,3.02
5.89,16.62,5.04
6.43,16.42,3.12
8.35,27.52,3.05
6.66,17.84,4.11
7.65,16.9,3.16
5.84,17.31,3.2
6.01,16.01,3.17
5.96,17.23,2.96
5.8,24.23,3.02
6.58,16.94,2.86
6.07,15.84,2.94
5.97,16.75,3.01
8.43,16.75,4.44
6.07,16.01,3.21
5.96,15.95,3.46
7.66,16.62,2.8
5.99,24.03,3.4
5.85,17.34,3.04
8.02,16.36,2.96
5.97,16.24,3.09
6.5,16.85,3.95
5.99,16.67,3.46
5.77,18.01,3.72
7.32,16.05,3.04
5.89,18.1,3.94
6.76,15.98,2.95
6.1,16.05,2.96
6.18,16.32,3.2
7.5,16.18,3.25
5.73,15.82,3.11
6.4,16.37,3.41
5.84,16.12,3.07
5.95,16.63,2.87
5.84,15.73,3.69
5.85,16.77,3.3
5.76,16.31,3.38
8.23,19.83,3.69
5.88,17.01,3.69
5.77,24.0,3.0
6.96,16.68,2.8
6.99,18.3,4.17
5.87,16.0,3.0
7.6,16.26,3.93
6.09,17.95,3.02
6.06,15.87,2.94
8.19,16.3,4.7
5.83,16.07,3.64
7.04,16.2,3.4
5.96,17.43,4.36
7.81,16.23,3.26
5.83,16.49,2.95
6.07,17.44,2.92
5.86,16.47,2.85
8.28,17.13,3.01
6.06,16.11,3.69
5.98,23.84,2.81
6.0,20.68,3.54
6.04,20.25,3.15
7.55,15.79,3.66
5.76,17.76,3.53
6.33,16.05,3.5
5.8,16.34,2.94
6.39,16.55,2.9
5.96,16.23,3.62
7.56,16.06,3.26
5.88,23.84,4.22
9.02,17.71,2.99
7.59,16.36,3.0
5.83,17.49,3.0
7.43,16.1,3.92
6.03,15.85,3.69
7.97,27.06,3.36
7.32,16.33,3.05
5.88,16.95,3.44
8.18,24.38,3.21
7.5,21.59,3.06
5.89,23.73,3.32
7.36,17.81,3.57
7.71,19.16,3.16
5.82,17.92,3.47
8.05,16.43,3.12
8.3,16.12,3.55
8.11,17.58,3.41
7.47,19.18,3.02
8.39,16.34,3.05
7.86,16.23,3.02
6.84,23.92,3.25
7.46,16.55,3.02
