--- 2026-06-04_01:38:48 ---
--- 2026-06-04_01:38:50 ---
--- 2026-06-04_01:38:52 ---
--- 2026-06-04_01:38:54 ---
--- 2026-06-04_01:38:56 ---
NAME           CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc23   3.89%     2.914MiB / 23.32GiB   0.01%
cliente_hqc22   3.88%     2.906MiB / 23.32GiB   0.01%
cliente_hqc21   8.55%     3.715MiB / 23.32GiB   0.02%
cliente_hqc20   3.78%     3.055MiB / 23.32GiB   0.01%
cliente_hqc19   3.97%     2.914MiB / 23.32GiB   0.01%
cliente_hqc18   4.07%     2.902MiB / 23.32GiB   0.01%
cliente_hqc17   3.77%     2.906MiB / 23.32GiB   0.01%
cliente_hqc16   3.81%     2.906MiB / 23.32GiB   0.01%
cliente_hqc15   4.32%     2.914MiB / 23.32GiB   0.01%
cliente_hqc14   3.94%     2.914MiB / 23.32GiB   0.01%
cliente_hqc13   4.04%     2.91MiB / 23.32GiB    0.01%
cliente_hqc12   4.14%     3.145MiB / 23.32GiB   0.01%
cliente_hqc11   3.90%     3.375MiB / 23.32GiB   0.01%
cliente_hqc10   3.95%     3.191MiB / 23.32GiB   0.01%
cliente_hqc9    3.99%     2.91MiB / 23.32GiB    0.01%
cliente_hqc8    3.90%     2.922MiB / 23.32GiB   0.01%
cliente_hqc7    4.28%     2.914MiB / 23.32GiB   0.01%
cliente_hqc6    4.01%     2.914MiB / 23.32GiB   0.01%
cliente_hqc5    4.09%     3.531MiB / 23.32GiB   0.01%
cliente_hqc4    4.78%     3.262MiB / 23.32GiB   0.01%
cliente_hqc3    4.27%     3.402MiB / 23.32GiB   0.01%
cliente_hqc2    3.80%     3.109MiB / 23.32GiB   0.01%
cliente_hqc1    3.92%     2.918MiB / 23.32GiB   0.01%
servidor_hqc    50.47%    3.605MiB / 23.32GiB   0.02%
cliente_hqc26   4.05%     2.898MiB / 23.32GiB   0.01%
--- 2026-06-04_01:40:06 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc27   4.04%     2.914MiB / 23.32GiB   0.01%
cliente_hqc26   3.71%     2.902MiB / 23.32GiB   0.01%
cliente_hqc25   3.87%     3.074MiB / 23.32GiB   0.01%
cliente_hqc24   3.91%     2.906MiB / 23.32GiB   0.01%
cliente_hqc23   4.02%     2.914MiB / 23.32GiB   0.01%
cliente_hqc22   5.44%     2.91MiB / 23.32GiB    0.01%
cliente_hqc21   3.96%     2.914MiB / 23.32GiB   0.01%
cliente_hqc20   1.90%     3.402MiB / 23.32GiB   0.01%
cliente_hqc19   4.15%     3.125MiB / 23.32GiB   0.01%
cliente_hqc18   4.32%     2.914MiB / 23.32GiB   0.01%
cliente_hqc17   4.05%     3.129MiB / 23.32GiB   0.01%
cliente_hqc16   4.53%     2.91MiB / 23.32GiB    0.01%
cliente_hqc15   4.08%     2.914MiB / 23.32GiB   0.01%
cliente_hqc14   3.71%     3.148MiB / 23.32GiB   0.01%
cliente_hqc13   3.86%     2.91MiB / 23.32GiB    0.01%
cliente_hqc12   3.93%     3.141MiB / 23.32GiB   0.01%
cliente_hqc11   3.76%     2.934MiB / 23.32GiB   0.01%
cliente_hqc10   4.59%     3.664MiB / 23.32GiB   0.02%
cliente_hqc9    3.98%     2.91MiB / 23.32GiB    0.01%
cliente_hqc8    3.84%     3.078MiB / 23.32GiB   0.01%
cliente_hqc7    3.87%     2.906MiB / 23.32GiB   0.01%
cliente_hqc6    3.84%     3.141MiB / 23.32GiB   0.01%
cliente_hqc5    3.97%     3.309MiB / 23.32GiB   0.01%
