P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
3.83,1059.57,13265.44,1656.35,251.91
2.94,7601.92,1092.93,1736.41,34.05
2.81,1057.09,3120.01,1514.99,14379.85
2.7,1053.44,27.49,1088.76,18.07
2.69,1871.77,1076.35,3359.66,18.75
2.68,212.29,3177.98,27.9,18.36
2.7,830.65,33.21,1330.07,5778.52
2.73,826.52,217.99,1543.24,2335.43
2.84,1632.31,7656.7,2085.09,19.38
4.0,1054.02,29498.91,1681.63,457.68
2.71,1692.17,1514.99,1295.64,27.15
2.7,1061.66,6663.24,30020.31,254.71
2.75,1877.78,225.45,3344.22,2913.92
4.59,1064.98,24.68,27.91,22.82
4.12,5355.46,17.84,219.77,18.02
4.71,1058.37,650.11,24.9,2710.87
5.48,4.51,1122.81,23.81,35.62
7.15,3492.84,253.63,3347.51,256.29
6.14,1436.76,1711.38,2142.36,257.14
5.33,1863.58,1281.92,110036.42,3368.31
2.92,213.92,23.63,1487.95,2507.9
2.41,206.1,1117.98,1692.25,1101.33
2.31,418.54,216.69,30.03,2279.62
2.46,3.69,1671.5,23.33,1128.82
2.36,3110.6,250.45,23.53,12949.36
2.69,4493.4,27.69,2924.15,256.4
2.66,3.2,1079.04,30.25,862.04
2.64,209.39,24.35,1311.9,21.44
3.38,212.89,20.87,1296.75,1483.13
5.8,2.86,20.13,1748.87,2552.14
5.99,1019.29,861.11,23.35,27.94
6.41,211.92,5014.33,4683.98,30.97
5.43,2085.6,24.45,220.88,32.64
6.45,212.49,18.89,35.4,253.44
5.9,214.22,2549.94,7462.55,27.85
5.38,827.97,1729.09,1483.82,27.07
5.92,3339.74,1080.7,667.01,13198.59
3.68,1049.95,33.49,1751.27,18.57
5.47,1057.18,658.7,836.43,18.71
3.97,209.9,6604.46,1299.42,5205.56
5.03,212.01,2315.69,6601.21,1283.21
6.22,4.06,247.32,1070.66,2114.66
7.75,1051.28,248.8,25.63,27.94
5.38,3.37,27.19,1706.15,4629.92
6.66,824.38,871.35,11247.38,220.52
6.1,1010.81,22.36,23.98,463.18
5.8,2.87,216.76,1705.16,1522.91
5.77,1037.4,29.31,36.48,3597.38
6.05,3.58,13124.18,1055.53,657.17
6.97,1.76,1253.2,22.84,1101.79
5.55,1.62,1691.88,1479.86,2311.36
5.66,208.64,214.67,669.18,22.89
5.88,2.49,26.22,23.5,6593.98
5.59,2.55,17.89,220.0,1486.42
5.47,213.65,17.68,262.58,27.83
5.73,2.67,220.32,35.01,18.14
6.7,1.97,1495.85,1461.08,833.06
6.06,1.93,1900.57,35.18,256.8
5.43,2.39,1683.3,106478.04,1497.14
7.65,1228.88,1097.99,265.8,27637.45
5.62,4.08,2688.3,2111.91,18.94
5.41,1431.84,3357.38,3796.6,13265.08
6.22,3.68,249.76,24.59,35.23
5.69,1.73,26.62,1501.02,7652.22
5.21,823.33,1122.23,221.16,219.52
5.65,3.79,1077.04,6650.23,1730.23
6.21,1430.2,1059.49,29.41,866.22
6.03,2685.02,868.11,29.09,26.56
5.32,212.71,426.63,668.47,1715.39
6.45,1064.72,2515.14,1514.39,19.72
5.7,3.12,33.43,1899.89,3364.7
6.1,2.28,644.72,28.81,4747.01
6.28,2.34,251.09,224.05,27.68
5.55,4333.33,1516.53,460236.76,870.69
5.4,5407.49,30.05,1060.6,6608.31
5.79,1469.9,225.12,1075.2,655.13
6.97,12022.63,2561.1,437.45,1126.29
5.8,1063.17,666.62,1711.24,2096.2
6.01,213.48,220.09,240.82,3328.11
7.09,1267.75,871.23,15649.76,4199.43
5.85,210.95,1047.17,664.29,18.48
7.96,3.34,1302.07,11715.66,18.6
5.33,212.69,32.81,1108.37,18.72
5.63,1457.15,26.95,1901.81,18.32
6.45,3.84,26.44,1267.13,30541.84
5.77,2.26,17.18,5383.28,846.56
5.98,1870.16,2541.26,26.88,1277.22
6.35,208.23,23.05,1295.32,1306.15
5.38,4.34,655.77,1525.23,23.16
5.3,1058.06,2992.41,30.35,7454.91
7.5,2.27,1511.19,5785.31,1328.58
6.64,1684.4,863.01,33.25,1331.66
5.59,421.08,1113.93,5057.71,1479.58
5.35,1045.38,43.92,40.03,19.63
6.83,1056.11,5586.06,23.89,18.37
5.71,3.99,3351.24,3158.66,428.33
6.03,1030.63,4437.18,6254.24,838.09
5.65,417.68,1260.04,6664.06,6419.88
5.54,419.98,1482.11,2144.53,3133.14
5.56,1039.16,3791.32,23.61,1077.89
5.59,1057.56,833.32,9144.44,34.52
2.95,5355.81,12873.87,3779.62,23.9
2.91,3.04,225.35,3574.04,4617.45
2.86,1.92,6613.08,25.23,19.11
2.77,420.06,2137.04,8730.47,221.55
2.69,1066.98,19.58,1671.23,24.43
3.27,2.37,19569.36,476.92,1710.34
6.77,1247.49,3358.8,1955.46,19.04
5.22,3.21,25.45,224.74,19.18
5.98,4349.68,226.16,1284.42,220.9
7.26,2.35,20.65,257.28,105823.26
5.51,1.63,22.17,25.11,429.77
8.43,1031.06,1080.41,24.79,1696.2
6.14,211.58,4376.53,24.23,29770.69
7.07,824.37,250.02,2135.64,2309.7
5.93,1043.98,18.95,259.32,10565.9
6.98,210.83,26800.82,1464.6,1091.92
6.12,828.37,1720.06,260.91,1893.32
6.97,3.08,22.16,24.43,24.77
6.04,1227.76,3788.44,1744.47,18.56
6.61,207.6,1100.73,36.62,17.61
6.13,2.83,1260.44,2149.36,6411.04
5.62,1.91,19.28,30.07,462.01
6.26,1044.83,19.21,3743.49,26483.03
5.67,211.8,210588.37,24.8,24.89
5.72,1483.19,1666.83,24.06,1504.41
6.3,2.68,1059.71,24.82,1314.39
6.21,212.85,18.12,430.41,19.41
6.19,2.88,18.16,4409.39,214.9
5.75,212.48,1726.9,224.19,6657.29
6.52,3.63,34.7,431.08,36.49
6.77,2.25,1099.64,1720.74,3563.75
6.4,1.94,255.79,220.32,467.48
6.75,2.76,215174.24,32.21,1325.56
7.64,3471.44,22.05,835.4,7129.03
6.78,4.43,2473.88,1286.51,1703.2
