P-521,hqc256,p521_hqc256
859.75,1457.98,1492.01
858.18,1440.88,1494.64
858.42,1444.66,1495.07
830.7,1388.83,1455.57
855.08,1436.8,2463.53
861.31,1384.51,1418.92
858.39,1437.71,1520.47
859.69,2430.62,1486.82
859.01,1453.4,1490.1
860.51,1458.01,1479.58
1923.05,1454.13,1490.74
859.18,1452.05,1497.53
1897.51,1438.85,1494.49
858.86,1386.47,1486.39
857.36,1440.82,1458.89
859.41,1458.14,1493.19
855.17,1393.35,1485.02
860.84,1469.13,1494.65
857.6,1461.25,1493.63
858.57,1442.81,1930.98
858.26,1440.22,1488.88
858.25,2274.12,1431.56
858.52,2449.29,1484.44
858.38,1450.72,1430.1
851.76,1470.02,1439.32
854.98,1458.55,1491.31
858.87,1441.68,1476.14
1840.62,1461.09,1499.74
854.22,1842.74,1491.97
860.94,1446.09,1480.82
858.81,1464.89,2413.75
859.46,1463.89,1495.14
857.95,1438.9,1904.66
858.88,1435.2,1487.72
858.23,1449.51,1482.85
853.62,1400.69,1473.1
860.98,2250.02,1478.14
860.25,2265.53,1495.06
859.37,1470.12,1877.33
867.26,1463.43,1890.41
1870.73,1459.68,3267.56
860.41,1425.9,1477.6
1910.49,1403.37,1459.0
856.07,1350.92,1467.09
865.23,1466.45,1911.02
858.57,1457.96,1496.94
855.6,1448.01,1423.63
1924.77,1434.78,1486.82
1888.23,1443.92,1503.18
857.3,1422.88,1488.11
857.8,1439.57,1879.51
858.87,1460.79,1473.48
848.57,1458.72,1484.56
1888.4,1399.42,2465.3
1857.73,1446.0,1499.2
854.89,1442.17,1428.92
858.79,1442.32,1489.54
861.62,1395.3,1498.06
861.07,1440.59,1479.67
859.66,1407.89,1482.95
857.33,1456.39,1514.02
858.93,1452.11,1879.01
857.72,3245.2,1476.93
858.28,1445.84,2534.84
840.6,3188.75,1489.71
855.37,1449.2,1495.38
858.32,1445.94,1503.23
859.36,1434.98,3531.86
858.44,1457.64,1503.34
852.89,1458.03,1421.61
855.43,1438.89,1495.39
857.84,1417.79,1438.08
857.74,1456.64,3786.9
859.46,2474.78,1456.76
1911.39,1449.12,2469.37
858.35,1453.86,1394.95
862.31,1446.95,1467.83
859.26,1451.47,1491.5
859.87,1460.63,1505.32
859.6,1406.4,1496.89
858.82,1467.98,1497.27
856.26,1437.84,1494.85
858.84,1466.66,1439.3
856.86,1445.52,1488.69
859.32,1441.41,1488.88
858.11,1467.98,1491.24
852.39,1467.7,1493.18
858.47,1447.15,1440.45
858.21,1456.11,1511.41
1883.79,2243.31,1494.97
856.22,1446.73,4148.05
