P-521,p521_mlkem1024,mlkem1024
1416.94,10.83,2.11
3000.82,4905.51,3024.44
90.01,11.14,9913.23
5.44,129.13,29.81
3000.8,3033.08,2.13
5.07,8140.36,84.11
4.03,8085.38,2.05
33.45,12.33,29.99
3000.39,7062.22,2001.02
33.39,10.6,3026.31
32.54,3198.15,29.6
4.94,47.9,1.83
3923.88,476.21,7225.99
3029.14,3039.12,29.81
3.97,3694.07,7026.1
3029.86,12.1,8293.46
3.76,3007.22,10663.78
5.12,16.18,3024.99
7026.87,11.73,1.94
3.9,10.83,56.9
3.8,40.64,2.14
146.35,10.93,435.18
3.96,10.94,7111.22
4.18,69.59,3305.02
7281.72,3503.11,2.12
3404.87,157.97,2.06
4.2,16.27,29.84
7000.31,8030.06,4485.94
88.88,11.03,31.4
7953.78,82.14,2.0
4.1,16.14,57.14
5.01,6058.22,247.32
118.48,2080.06,4081.5
3.89,8059.11,3026.35
3000.63,10.93,2.08
4.39,4199.02,4270.51
5.0,10.98,2.39
3.94,9344.11,3193.48
4.07,10.99,2.46
3085.52,40.56,2.54
294.42,5547.92,29.82
3001.46,4219.71,2.09
88.83,7410.51,2.41
4.02,3255.56,193.11
3.76,459.91,3486.95
3.93,7146.68,2.0
10098.1,541.04,119.21
3.92,7092.27,2001.08
4.07,40.53,3847.36
3.93,11.06,2001.17
3.98,10.94,57.11
6999.62,40.62,219.03
4.08,4436.77,29.61
104.91,4032.33,3286.29
64.73,10.9,29.68
3000.89,4032.43,212.66
3.79,11.03,2.3
4.03,7602.29,4053.22
4.1,10.71,57.31
89.0,7750.23,1.98
3216.42,10.62,2.05
4.08,7164.15,210.2
3.91,3007.79,2027.79
3113.69,2034.97,1.94
3.87,10.8,8104.03
3000.88,4114.31,2.32
237.24,3017.85,2.38
3001.43,4197.08,2028.32
3.89,10.75,2001.07
33.73,3887.68,3073.34
6998.63,40.58,34.1
3001.02,8226.25,2.34
40.0,11.15,2.06
289.29,10.94,2.27
61.34,10.97,1028.63
8146.42,41.93,2.08
3.83,2094.87,3027.3
457.82,16.39,2.59
7224.82,4221.41,3219.55
3000.73,4438.64,3525.67
32.64,11.0,3069.01
4.7,16.3,2.15
61.15,11.66,3216.37
3.94,11.58,2.28
6999.93,48.02,1.92
6999.91,10.99,1001.52
322.72,2258.23,115.53
4.97,99.75,2.68
117.64,16.24,445.5
4.04,7217.48,2999.32
89.92,10.7,2.0
3.96,16.17,1044.54
6999.91,11.44,29.51
3000.68,2034.52,2999.87
7000.47,1001.42,2.11
120.05,509.62,56.99
3.91,3006.75,1029.8
3.92,3897.95,2.34
5.39,40.79,2.19
3.97,3499.54,5026.19
230.77,11.11,2081.37
3001.07,7043.01,2.12
3513.29,4789.73,29.96
3.85,10.68,7025.35
3.98,4004.79,2.35
3.96,16.41,2.21
32.72,10.73,2028.01
1093.83,3009.41,1001.59
7592.84,16.3,2027.82
200.5,7102.4,139.02
5.51,8191.44,2.14
3.97,2062.72,2.44
3000.85,10.82,29.7
7027.43,7203.92,2397.26
294.76,11.1,83.96
32.91,3205.8,3326.72
918.56,10.93,2.14
3000.71,11.06,2.1
349.2,10.83,1001.83
4.94,7010.28,2.34
,74.12,3055.64
