P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
2.33,29.35,14.53,3.24,1.79
2.29,1190.91,38.54,2027.02,29.24
2.03,29.39,8.62,4.1,1080.58
2.33,57.08,2033.91,196.2,1.84
2.19,2028.2,1014.29,2002.88,2.07
2.34,1.76,1031.82,1005.71,1004.18
2.46,1.66,49.05,3.32,4026.2
2.1,1.89,12.63,3.52,2.09
2.01,1.65,19.09,3.84,1.83
2.38,1.82,17.74,1005.97,2.0
2.13,1102.68,42.82,3.18,1.85
2.42,2.19,3009.55,3.69,2.16
2.09,83.96,1018.23,3.26,1.75
2.08,2.48,12.65,2026.2,1.67
2.08,2.03,44.88,3.35,1001.28
2.06,1.73,17.63,5.33,29.31
2.03,3.47,2040.84,3.46,1.86
2.37,1103.3,11.12,3.17,194.72
2.07,2.06,11.36,3.22,1003.95
2.04,1.79,11.8,3.82,1.73
2.38,29.72,1020.02,3.37,1010.05
2.03,2.45,10.35,30.67,1.99
2.46,3.37,9.8,30.63,2.0
2.21,2.46,4006.36,3.25,1.82
2.38,2.19,4011.72,3.27,32.46
2.37,1.81,14.42,3.21,1.75
2.35,29.46,99.02,4.23,2104.21
2.27,1.77,2031.66,1005.36,1003.92
2.36,1101.38,96.74,3.25,29.35
2.05,33.95,1126.32,4.47,2001.2
2.31,1.85,12.29,2002.97,2001.41
2.31,33.63,8.76,30.73,2.05
2.01,1.77,9.1,30.77,1003.79
2.02,83.68,8.97,3.2,29.39
2.17,29.8,8.87,30.67,29.25
2.17,1.89,39.46,2026.13,2.03
2.09,1.83,9.03,3.17,2.04
1.97,2.22,9.87,4.14,29.44
2.6,1.78,9.02,3.25,1.78
2.38,2.51,38.57,3.31,4000.07
2.3,2.56,13.56,32.79,29.26
2.37,2.53,10.01,3.63,1.62
2.15,3.14,9.63,3.3,1024.74
2.42,1.71,13.55,3.2,3.02
2.13,1.76,14.35,1006.7,2.98
2.01,29.44,4009.77,3.22,29.48
2.46,1419.5,13.32,3.19,2.83
2.13,4998.86,8.6,4.19,2.11
2.1,2.16,8.58,4.17,2.04
2.34,29.76,8.61,3.19,2.3
2.12,1.86,15.44,3.31,29.82
2.45,2.18,13.97,3.22,30.64
2.3,1.93,2011.42,3.31,1.75
2.06,29.74,15.29,3.23,1.75
2.0,2.22,44.85,3.22,30.84
2.31,2.32,14.87,30.62,1.76
2.35,29.78,13.48,3.19,1004.12
2.08,83.84,13.25,30.53,2.04
1.99,2.09,1023.67,30.7,1.74
2.49,1.89,2024.26,3.17,2024.79
1.91,2.09,14.1,3.27,1.91
1.99,2.19,16.78,3.25,2.04
2.09,2.49,61.38,3.19,1001.24
2.13,1.92,19.39,3.21,1.75
2.03,2.38,16.68,3.25,1.68
2.02,1130.05,2042.17,3.26,2084.6
2.31,1.82,1015.01,3.18,1003.94
2.0,1.82,15.73,3.31,1.6
2.37,1001.68,1104.72,3.21,1.8
1.92,2.01,10.67,30.78,1.76
2.23,2.18,10.14,3.21,1.71
2.12,1.9,13.93,3.35,1.74
2.34,2.32,12.48,3.26,1.74
2.28,2.04,22.54,3.16,1.82
2.27,1101.81,11.32,3.19,29.29
2.14,1102.03,23.03,3.23,1003.76
2.22,33.74,11.43,3.29,1001.21
1.98,1.93,16.24,3.3,2.15
1.98,2.37,1016.04,3.23,1.79
2.44,2.12,11.42,2002.78,1001.22
2.07,1.97,12.07,4.13,2.11
2.23,1001.31,10.2,4.97,1.77
2.46,2.05,1012.63,3.2,3124.8
2.8,2.85,2034.01,3.19,1064.41
2.21,3074.03,9.68,3.14,1.68
4.77,1.99,40.61,1005.02,1030.51
2.12,1.81,2523.87,3002.08,1003.76
2.4,2.52,3008.71,3.24,1.61
2.49,2.19,1017.73,35.06,1009.81
2.65,1101.56,1052.66,30.74,1.72
2.0,2.12,9.23,1032.51,1.66
2.0,1.76,8.76,3.55,1.93
2.17,1.95,9.16,3.38,1006.81
2.13,2.11,9.21,3.2,5.11
2.18,1001.38,10.1,3.35,4.08
2.33,2.68,13.9,3.23,2030.41
2.31,1001.28,43.97,2054.56,31.39
2.2,1.71,1011.86,3.26,63.48
2.19,2.04,14.28,3.21,2.57
2.64,57.41,1011.3,1005.0,2024.96
2.14,2.73,9.67,3.45,34.01
2.0,1.86,9.41,4.13,2.1
2.22,2.41,11.94,3.2,2.14
2.19,2.2,9.71,3.16,29.34
2.08,7218.91,50.87,3.33,2.32
