P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
1.88,2.16,13.55,1003.67,1.64
2.98,2.02,9.23,1003.39,1.72
2.02,2.64,8.56,1032.73,1001.87
2.23,1.82,8.68,4.75,1029.68
1.87,2.15,8.47,1028.99,1029.67
3.15,2.33,14.5,3.17,1.91
1.87,2.06,9.88,1085.5,1.88
1.89,2.56,13.43,1004.48,3001.42
2.04,2.29,9.7,3.65,2.65
2.12,1.81,10.55,3.12,1002.29
1.92,2.44,10.64,1057.72,1439.51
1.86,1.73,11.27,1003.94,1.69
1.82,2.13,16.08,3.55,1.73
1.86,2.22,13.69,1028.08,6998.8
1.76,2.05,10.25,1005.51,1002.21
1.81,2.48,11.67,1028.51,1056.8
1.91,1.76,17.05,3.17,1.65
2.2,2.12,9.82,1111.41,1.72
2.69,1.74,9.63,4.25,9776.58
2.7,1.84,14.14,1028.34,1056.69
3.02,2.73,9.88,1059.0,1999.92
1.93,2.23,14.37,1277.08,1003.51
2.03,1.68,13.79,1004.83,1598.04
1.93,1.99,9.41,3.79,2.2
2.87,2.33,14.26,3.46,1002.04
1.83,2.22,13.65,3.24,1.6
2.04,2.02,10.17,3.37,3000.88
1.84,1.74,10.23,3.09,2.2
2.09,1.79,9.66,1028.42,1030.93
2.36,2.17,8.47,3.54,1026.63
2.59,1.77,8.68,3.13,1.66
2.32,1.68,13.76,3.52,1.99
2.43,1.64,8.71,4.27,3001.14
2.63,1.64,13.74,4.21,3001.47
2.42,1.97,9.41,3.95,1.62
1.97,2.69,9.24,4.27,1.84
2.03,2.08,9.52,3.92,1.62
1.97,2.51,9.5,3.42,2.68
1.86,1.84,9.05,3.86,1.93
2.28,1.66,8.67,3001.34,1.69
2.17,1.73,13.36,3.16,1.92
1.91,2.02,13.68,1003.11,1099.87
1.85,1.88,8.56,1057.15,1.68
1.98,2.26,8.53,3003.3,2.26
2.03,3.25,10.47,3.48,2.05
2.35,1.84,9.49,3.11,2.13
3.15,2.55,9.15,4.2,1084.31
2.03,1.78,13.52,3.12,1.69
1.79,2.4,8.53,4.06,1.76
2.62,2.0,13.61,3.1,1027.33
2.28,1.67,8.59,1029.3,2.26
2.34,1.74,8.98,3.58,1232.04
1.88,1.96,9.46,6999.87,1110.06
1.88,2.02,8.69,4.35,1.69
1.83,2.08,8.49,1027.7,2999.88
2.14,2.07,8.91,3.4,1.62
1.83,2.35,10.8,4.61,1001.6
2.3,1.8,9.28,1057.5,2.11
2.24,1.59,8.98,4.28,1219.33
2.27,1.79,13.84,3.1,2.21
1.83,1.7,9.25,1085.35,1056.38
3.06,1.84,9.79,3.33,1001.86
1.94,1.82,8.46,3.36,1002.61
1.89,1.87,8.46,3.11,1001.92
1.94,2.11,8.93,3.99,1.72
1.88,1.93,9.74,1423.11,1027.39
2.83,2.07,9.65,3.19,2442.13
2.49,2.22,9.77,1003.42,1027.32
2.35,1.69,13.95,3.13,1001.66
2.29,2.71,9.99,3.16,1.69
3.19,1.96,9.8,4.82,1003.06
2.35,1.76,8.55,3.16,2.92
3.32,1.79,8.51,3.1,1.99
2.34,2.31,9.07,3.48,1027.27
2.1,1.68,9.28,3001.97,6998.83
2.02,2.12,9.73,4.39,1.66
2.97,1.82,8.5,1004.03,2.1
2.17,2.52,13.39,3.05,1003.44
2.02,2.07,8.41,3.21,1437.68
1.89,1.66,10.44,1003.48,1.71
2.31,2.0,8.82,3.19,1.75
2.17,1.7,13.9,1028.17,1002.22
2.18,1.63,8.77,3.48,1.69
2.06,1.6,9.31,1007.21,1054.34
2.04,2.15,13.17,3.12,3001.46
2.54,1.63,9.25,4.96,2.11
2.17,1.75,8.46,1028.92,1030.57
1.91,2.13,9.73,7000.22,2.12
2.39,2.37,13.45,3.94,1.67
2.62,1.84,9.19,1030.37,3000.53
2.2,1.94,9.21,1111.88,2.24
2.23,2.18,9.48,1002.94,1002.3
2.24,1.78,9.3,1002.93,1196.03
2.26,1.72,8.67,1003.82,1200.42
2.42,1.65,8.49,3.14,2.14
2.43,2.31,13.57,1012.93,1.6
2.23,1.68,8.33,7000.31,1.66
2.44,3.03,11.43,1028.51,1.95
1.82,2.14,9.71,1056.02,2.21
1.79,1.84,9.3,3.43,1002.2
3.21,1.6,9.95,1004.23,3001.93
2.31,1.82,13.83,3001.9,6999.24
2.22,1.69,9.19,3.4,1.76
2.18,1.68,12.59,3.62,1056.42
1.96,2.04,9.4,15623.12,1.64
2.3,1.66,8.71,1313.67,1027.0
2.33,1.66,8.52,1028.36,2.1
2.53,2.11,8.57,3.08,1026.97
2.03,1.66,9.68,4.27,3000.22
2.49,1.66,10.13,1028.92,2.56
1.95,1.71,10.94,,1.62
2.52,2.1,10.01,,1002.98
2.29,1.69,9.09,,1.74
1.92,1.79,13.4,,2.07
2.1,1.75,13.78,,6999.24
2.04,2.18,9.01,,
2.67,2.32,9.35,,
2.39,1.71,13.79,,
2.23,1.71,8.54,,
1.98,2.89,13.36,,
