P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
1005.11,3.71,15.09,5.63,1002.18
7.58,3.74,12.95,5.62,4.23
5.25,3.76,13.28,5.58,3.06
6.52,3.72,12.09,5.62,4.23
5.08,3.69,18.31,5.67,3.02
5.16,3.74,12.47,5.57,3.56
5.06,7000.7,18.34,5.64,4.22
5.15,1004.52,1024.13,5.64,3.05
5.25,3.7,1011.74,5.56,2.94
7.36,3.77,12.03,5.6,1002.27
5.11,1003.98,1046.04,5.65,3.04
5.05,3.71,13.24,5.64,3.04
1005.36,5.25,1019.1,5.65,2.9
6.73,5.27,1013.33,5.7,3.01
5.28,1003.98,1013.42,7.18,2.99
7.14,5.27,11.91,8.13,2.9
8.95,5.29,11.92,8.02,2.97
1007.2,4.52,12.05,5.73,3.03
7.09,1003.88,11.96,5.56,3.24
7001.52,3.82,13.12,5.52,3.18
5.6,5.26,12.55,5.64,3.16
1005.22,1005.5,11.92,5.63,3.32
7000.99,3.73,12.18,6.62,3.02
7.23,4.64,1029.21,6.66,3.02
6.87,4.49,12.05,6.61,3.01
5.26,4.53,12.08,5.64,1002.67
3003.45,4.5,12.26,5.64,3.01
1004.66,1003.57,11.87,6.37,3.17
1005.51,4.54,18.32,5.87,3.01
5.29,3.72,18.4,6.61,3.12
7.48,4.48,12.3,6.81,3.06
7.26,4.52,18.32,6.59,2.92
1007.24,4.49,12.79,5.62,2.98
5.22,3.72,12.0,5.65,2.94
5.16,3.73,12.74,5.58,2.91
3004.2,1003.34,13.06,5.59,4.64
5.65,4.5,1013.84,5.63,4.25
5.16,3.8,11.95,5.54,4.32
5.63,1003.93,1031.6,5.62,1002.4
5.13,4.5,1013.5,6.8,3.01
7.3,3.75,12.19,5.59,2.96
5.28,1003.88,12.08,5.64,3.05
5.01,5.27,1012.4,5.9,3.1
1004.45,4.51,12.38,5.58,1002.54
5.54,3.73,1043.19,9.06,1002.58
5.2,3002.83,12.37,7.95,3.01
5.37,3003.24,13.27,6.41,4.21
6.48,5.21,12.27,5.71,4.25
7.21,4.36,12.46,6.83,3.13
5.37,3.83,11.97,6.63,4.23
5.89,4.03,18.82,7.34,4.32
8.31,3.87,11.86,6.76,3.13
6.79,3002.29,11.89,6.36,3.08
7001.05,1004.57,12.26,5.64,2.98
5.85,3.82,17.97,1008.36,3.0
5.17,1003.43,13.5,5.95,3.01
5.99,4.64,13.46,5.6,4.2
5.17,3.98,12.77,5.59,1003.18
5.9,4.26,11.95,6.59,1002.65
1005.14,5.25,16.14,7.95,3.11
5.07,3.89,12.73,5.6,3.0
5.06,4.22,12.34,5.54,1002.78
7.12,1003.29,12.47,6.61,1002.65
5.08,3.91,12.24,8.01,3.06
5.5,3.69,12.57,3049.13,3.08
7.09,1004.23,12.39,5.53,2.99
1004.5,3002.79,1035.24,1031.77,3000.81
5.16,4.36,12.12,1015.69,2.96
1006.56,3.72,12.37,8.09,2.99
6.33,3.92,11.99,5.58,3.01
5.12,3.8,12.32,1031.98,1002.58
6.44,5.24,12.12,5.64,2.97
7.19,1004.4,15.46,1008.23,1002.58
5.11,4.24,12.09,5.59,2.99
5.15,7000.57,3027.64,5.67,2.98
5.09,1005.26,12.93,5.53,3.08
1005.09,3.77,11.89,5.62,2.94
1005.31,3002.02,11.92,1008.25,1003.16
5.17,3.84,12.36,5.51,3.54
5.55,1002.98,12.66,5.55,1003.44
5.13,5.49,18.75,6.68,4.2
5.57,3.75,12.06,5.64,3.79
3003.55,3.94,11.96,5.61,3.12
5.66,3.84,18.63,8.01,3.64
6.71,1003.55,11.95,5.7,3.02
3004.37,1003.35,12.74,8.03,4.45
3004.29,4.53,13.72,5.63,3.12
7.01,3003.59,11.87,1008.34,3.05
8.68,3.81,12.31,5.64,3.19
5.21,1002.95,1013.02,7.98,2.99
7.27,4.04,12.79,1027.87,3.01
6.41,4.16,1029.9,5.61,4.23
6.37,5.29,12.09,8.32,1002.16
3005.05,4.0,13.26,1030.8,4.19
5.81,3.75,1016.39,6.21,3.56
1004.66,4.5,18.43,6.97,1002.58
8.17,3.75,1091.13,5.82,3.01
8.52,3.68,7007.78,1014.77,3.0
6.08,4.77,11.97,6.0,3.07
5.11,5.33,12.56,1008.55,1009.32
5.96,1003.51,11.97,7.04,3.15
5.38,4.39,1019.89,8.18,2.96
5.77,4.2,1013.02,5.99,1002.55
5.56,4.59,12.5,6.12,3.03
5.08,3.74,12.38,6.26,3.13
5.33,3002.35,12.79,7.75,3.01
5.1,4.79,12.42,1010.63,4.49
7.11,4.54,12.6,5.61,3.11
5.21,3.8,18.63,5.72,4.21
5.32,1002.85,12.17,3005.3,3002.87
5.1,7000.1,12.51,8.09,3.74
5.01,3.81,1037.36,5.93,1002.98
3003.47,1004.77,11.98,5.86,3.9
5.32,5.5,12.08,5.62,4.19
5.1,4.56,11.87,8.06,3.82
6999.75,3.73,11.93,8.01,3002.74
5.14,5.56,14.97,5.58,1003.43
5.1,1003.38,11.93,5.63,2.95
5.15,1003.12,12.24,5.86,3.49
1004.44,3.8,12.09,5.77,3.12
5.15,1003.22,12.11,7.34,3.61
6.17,4.7,12.19,5.67,3.23
5.16,3.91,12.26,5.8,3.17
5.12,4.6,1013.71,5.82,3.48
5.23,1003.91,12.19,6.34,3.25
6.04,5.28,11.99,6.21,4.15
1004.67,3.75,11.96,5.98,3.43
7.16,1004.24,18.82,1032.55,1002.51
3004.01,3001.95,12.43,5.61,3.24
5.07,5.3,1013.16,8.02,3.49
5.08,3.7,11.95,5.62,3.21
5.12,3.85,12.89,6.65,3.26
5.04,3.9,12.14,8.0,4.81
5.07,3.73,1025.88,6.59,3.46
3004.13,3.76,18.27,8.02,4.05
1004.65,3.79,13.28,6.65,3.51
5.59,3.84,12.31,7.15,1004.63
5.38,3.96,1013.15,1008.4,4.91
5.13,4.83,11.99,8.04,1002.64
5.17,3.83,14.71,5.62,4.18
5.12,4.16,13.06,5.56,4.03
5.1,5.4,15.07,5.66,3.05
5.1,3001.24,12.58,8.01,3001.5
5.06,3.84,12.34,1017.66,3.24
5.09,5.41,12.49,5.67,3.24
