P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
1.92,56.66,9.87,10139.94,1.6
2025.63,1256.84,38.49,31.43,2.02
29.69,2999.84,13.09,30.76,2025.77
1.94,32.62,9.51,3.34,29.18
1.97,1.77,6764.81,3.4,4108.83
2963.57,1.81,38.25,5523.58,1.76
2074.39,2025.05,13.14,86.14,1.78
61.16,1.76,1019.79,1006.24,1.77
1271.59,1.88,8.84,31.05,1.79
2115.04,1.76,1064.8,1005.55,32.71
2025.86,1128.34,2030.55,30.83,2291.48
1423.03,3000.19,8.55,3.31,1.96
3027.69,2.04,2030.95,3.34,31.5
2.31,56.82,8.62,2027.68,1.67
1103.3,6072.62,1323.52,7253.7,3462.69
1230.05,29.55,1014.21,85.81,2.16
2.09,1.74,2120.86,2110.81,1.82
2.18,115.33,1009.98,2003.19,1.76
1.96,2102.03,13.28,1123.02,3055.03
2.08,2.01,10.81,3.2,2.08
2.45,2.02,8.71,3.23,1.76
2.06,29.47,38.28,3.12,407.1
2.33,29.62,13.14,3.07,1004.32
2.23,56.82,1010.49,4.08,33.68
1156.86,1128.48,38.14,3.35,1.98
1.92,3099.47,9.02,3.26,1072.04
1.91,1.74,2007.45,420.9,1.72
2.27,1.78,9.04,4.28,1003.93
2.08,1.9,2147.67,1085.28,2053.59
1374.9,191.82,43.9,4.16,1.58
6099.12,1101.88,13.11,3.01,1.71
1684.32,1.81,8.53,6085.64,84.73
2.21,2.02,905.9,8625.26,1.71
7071.62,60.98,38.27,30.64,225.17
1.97,1.64,5209.09,3.84,29.21
2000.34,29.56,11.43,2026.62,59.88
1102.94,1.96,8.61,3.16,1.89
111.25,32.77,8.9,3.18,1.74
1.91,2109.74,43.55,3.28,1.85
3075.3,2.1,2118.96,85.93,4055.62
2.14,83.55,2147.78,3.26,1039.17
2.01,1.67,8.77,3.04,8020.3
7740.17,3096.77,9.65,31.93,1.81
196.9,1.8,8.79,3.33,1011.48
1102.64,33.6,8.83,3.79,30.72
9023.29,61.24,1010.69,415.61,29.22
3075.2,1.97,3008.11,3.3,1.99
1103.13,1.86,485.47,3.16,1.93
1999.87,1229.91,38.22,3.26,1027.24
2.35,1.88,38.48,1002.58,1.77
1211.77,1.74,8.44,3.24,1.78
4347.92,1.81,2007.7,4.26,30.46
2.24,33.8,4064.37,3.07,193.72
1102.73,1001.27,8.53,1040.42,1001.23
2165.94,2081.71,96.17,3.21,1728.63
2.03,1.98,8.59,30.52,1.89
1.94,1103.04,8.65,3.22,1.93
2025.88,1.81,8.8,2277.78,2.34
1101.48,2025.78,441.96,198.7,29.16
3098.62,1.81,13.33,31.48,4000.95
1101.92,1157.09,8.81,5000.82,4000.03
5073.29,1.76,2011.49,4790.91,6894.23
2.02,1.76,72.68,30.71,29.3
29.59,1.85,8.71,3002.58,1057.11
2.48,1102.84,13.12,31.94,1.83
2.4,1102.39,7003.7,1236.98,7225.84
111.45,1.99,7004.6,3.14,2025.06
2.23,33.73,2008.83,3.21,1050.66
1.95,2025.1,3570.04,7000.7,85.25
29.86,1102.05,1195.95,30.83,2.02
1156.45,2024.98,1010.06,4.36,1.74
2.25,29.57,46.99,3.16,1.78
11097.74,1.71,43.68,2026.91,2.05
8995.96,118.65,13.14,3.41,1004.45
2.03,1.75,2009.86,3.17,1.74
83.78,2.16,8.98,1005.16,29.21
29.61,1.91,38.63,2247.17,5025.15
1.98,2.23,38.51,3.23,852.57
1257.58,2.11,4065.27,2026.24,29.46
29.64,33.71,13.03,1004.45,2025.72
4099.77,29.68,2007.96,3193.57,29.2
1130.24,2.04,1009.89,3.17,10995.66
2.05,2026.21,1014.26,6787.43,3028.26
1103.05,1101.24,130.97,3.7,33.7
1.94,4999.36,9.64,417.09,1.71
2.0,1.78,12.06,1870.21,2025.12
2.29,2.06,9.56,30.75,2.34
1.98,1.99,1010.76,3.58,1.98
2.49,5025.63,2031.47,1005.44,1.69
2026.22,29.65,73.01,3.01,193.63
83.85,2218.17,8055.79,2002.5,29.26
2.03,83.59,8.78,1005.71,1.78
2025.87,1.84,8.83,30.85,1004.39
1.96,59.93,8.71,3.29,1004.33
33.95,1.78,2061.93,3.45,29.25
1.88,1.74,13.13,1232.84,1.72
29.69,1.9,4006.47,30.89,29.09
3155.84,1101.15,8.63,3.21,1.58
29.45,2074.99,8.56,3002.2,1.9
61.2,1.81,96.48,31.24,1.81
1999.84,1183.44,13.05,4000.86,8999.34
2.62,1.76,13.39,2002.4,1.7
1.88,1.72,2032.43,34.68,4053.63
3349.84,1.6,38.46,2276.46,1406.34
2.28,2000.45,8.57,3.18,2001.24
1158.08,29.46,43.6,3.28,84.54
6022.84,2.03,13.65,3.23,7164.34
3074.9,2.18,1013.18,3.24,1.74
2.12,83.62,8.57,196.3,1.72
406.63,1.84,2030.6,36.4,1.85
1101.72,1001.14,94.21,5027.36,31.52
1.86,1.79,1011.68,35.05,4381.91
83.65,3099.45,1012.51,3.22,10701.65
1129.86,2.08,2067.04,30.97,62.16
3000.1,405.93,4005.83,3.21,3483.41
2.08,2.21,97.1,1005.21,1003.99
1.96,1.86,7006.57,30.63,1.87
2074.55,2.28,8.82,3.09,1.64
4917.34,2.16,1033.71,3.07,1.83
3264.41,29.7,7012.59,7492.99,1003.75
1.9,56.94,5184.43,3.29,1.93
1.83,56.93,1187.54,3.37,1.95
411.64,1.64,8.67,415.66,2.38
1.97,1.97,4131.83,1005.29,1.71
1129.88,2.03,2030.55,1005.88,196.01
29.88,1184.55,2031.69,2026.93,2024.99
2.15,1.89,43.63,7483.68,29.13
2.53,219.36,8.77,3.16,114.75
1029.01,5026.57,8.72,7000.06,1.71
3074.77,2081.87,8.81,1002.57,1.77
1999.72,1.88,2032.14,3.28,29.52
2.5,1001.08,9.53,4086.05,8955.11
1.85,7408.37,9.03,30.87,5841.75
3073.82,2025.05,2117.23,4055.96,3998.5
1.92,1.73,38.19,3.57,1.76
2.48,1.94,4038.91,1005.46,5108.61
2025.48,29.57,2008.88,2055.88,29.54
1131.39,29.7,1087.93,7000.61,1000.94
223.99,1312.92,8.45,30.89,1.84
1.95,1.72,8.63,412.36,1.86
3.82,1102.67,1033.49,2441.35,1.97
2.19,29.73,2030.52,3.2,1.77
2000.47,1.96,38.38,3.29,1.71
1001.46,1.78,1092.99,6740.66,4000.43
57.34,83.68,8.67,2026.62,1024.98
57.04,29.61,8.94,3.18,1.74
2.35,2025.24,131.16,7423.75,59.74
60.94,1155.15,1010.01,2054.58,2054.28
85.21,29.98,8825.56,1002.55,3027.39
2.15,2.0,38.22,1729.12,29.33
2.53,1.83,8.78,3.29,1.92
2232.49,29.5,8.51,86.29,1.62
1.93,1001.24,43.75,9998.95,1.81
3102.09,3098.58,2012.23,3.32,29.4
2265.84,1999.96,448.43,3.17,1.78
7072.85,1.78,6807.6,3.32,29.19
84.09,1103.47,8.77,1005.74,1.96
435.92,1.88,8.62,3.05,4025.98
2.06,1154.27,96.3,3.12,29.48
192.05,1.89,2032.4,3.23,1.76
29.76,1102.47,2011.02,3999.98,29.27
4096.05,1021.87,9.78,3.78,29.1
1102.96,1129.9,8.76,2404.43,7136.23
2.29,1001.05,8.74,3.27,2.15
1.94,8996.21,8.72,3.26,1.85
2.02,1.71,5518.53,30.74,1.83
1112.04,1.91,2120.09,3999.06,1003.97
56.98,2025.99,8.53,1030.83,29.14
29.9,1.75,8.63,3.18,1004.1
111.33,1001.23,5037.91,4.25,32.67
29.8,83.42,38.36,3.2,1056.39
33.78,1.85,38.4,4003.55,1004.04
1102.61,1101.46,8.78,30.75,1.6
1.99,111.19,38.33,85.97,1037.44
1.87,1101.26,8.73,2002.44,414.16
2074.78,1.89,211.96,1005.14,1.75
3328.71,5073.43,38.31,3.18,2.11
2001.04,1001.34,8.55,35.03,1003.97
61.2,83.53,7007.94,1003.97,84.5
2.43,2074.3,8.67,3.46,1.96
2082.86,1154.53,8.47,4.12,84.54
2.07,1101.31,38.42,3.14,84.33
1029.76,2.01,2061.37,3.19,1031.81
1158.14,2.1,8.68,2027.11,2001.62
2.99,2109.56,3006.68,2055.28,1.79
1101.49,1.64,8.58,1004.05,29.32
1102.79,1.88,8.84,3.25,1.8
1.82,1.72,7006.86,4.16,1.84
2.06,1.9,2091.03,4.31,1.96
56.7,1.83,8.33,3.23,1083.06
2.73,3073.88,1009.96,3.41,84.58
62.3,1.79,72.62,2221.44,3000.91
29.78,1.99,2031.59,1005.82,115.98
1.87,1.78,38.39,2027.11,1.8
7437.5,1.86,4007.6,3.25,2.18
6363.2,29.49,2367.84,1002.7,1.69
1.99,3367.38,1047.5,30.72,3290.68
1.97,1.76,38.47,30.62,2111.16
3074.59,1.96,97.36,3.27,29.24
1.93,1.97,13.2,3.72,1.84
2.31,2.13,9.08,4.16,1.77
1102.73,83.64,12.44,3.22,2.18
2082.3,1.68,45.84,33.88,1.72
4073.8,2108.93,3007.21,850.24,1.99
29.83,2264.19,2094.31,9084.45,3001.68
1001.36,1102.82,2030.69,5433.77,1.93
1001.28,2.23,8.63,3.09,194.62
1001.71,2.03,1056.47,417.99,1004.15
7558.78,1.92,8.56,3.17,414.04
2083.63,83.46,38.49,2026.16,29.23
1102.83,1102.56,1009.87,3704.2,2024.64
1.95,1.78,2032.28,3.15,1.92
1001.29,2.05,9.55,7028.4,1.74
1.99,3056.45,212.35,30.54,29.33
2025.67,33.62,619.85,30.61,11513.33
2.08,2074.2,2930.38,2031.55,2.21
29.72,3074.24,2031.16,3.33,2.1
2303.16,1181.81,1093.18,2026.24,2109.09
2.04,2025.51,43.48,2003.03,1.73
1102.73,2.1,2031.68,3.18,4583.3
29.73,83.7,8.62,3.64,2.06
5026.04,1.74,2036.09,4.14,2.41
2.14,1001.44,11.82,32.63,2.31
2.03,90.15,442.2,1004.19,2025.01
1101.64,7190.24,9.9,2026.55,410.73
3074.97,29.59,2030.84,1002.59,29.2
257.06,3074.21,9.55,1436.92,1.98
2.46,3101.45,4097.45,32.81,4998.08
3006.38,2000.7,13.08,3.63,1038.71
1.95,29.63,43.66,30.88,63.28
3101.49,29.48,38.93,35.05,29.59
1102.91,1.73,5005.91,3.8,33.67
1158.32,83.74,1480.23,3.1,2908.24
2.65,1.71,8029.83,3.22,1004.18
1156.73,1.78,8.56,3.23,1.8
30.2,10859.09,2030.73,4112.92,1.79
6192.68,2.0,39.01,4002.03,1.71
2025.21,1001.59,489.45,3.28,1001.43
61.22,2074.39,8.62,30.62,1.69
1.97,60.99,2125.22,3.23,1.72
2.37,1.93,1046.84,3.23,1.94
1156.32,1.78,43.58,3.16,2.11
1.93,2027.06,43.68,32.66,4379.0
1.96,1.75,2236.97,1002.55,2053.17
2.02,223.56,74.04,32.78,1.65
2.48,7756.31,2031.77,1005.3,
,1999.81,9.58,4.13,
,1270.67,8.52,31.74,
,2.28,,31.14,
,,,4.25,
,,,4001.43,
,,,3.54,
