P-521,p521_mlkem1024,mlkem1024
1004.47,12.51,1030.04
4.87,11.9,3.14
3003.7,11.84,3.35
7.2,12.01,1008.3
5.07,11.83,4.0
1005.16,18.35,3000.89
1004.89,12.0,3.17
5.29,18.24,3002.11
4.9,12.0,1020.78
5.12,18.8,3.71
3003.97,11.95,1031.25
1004.89,12.04,4.43
4.91,12.09,3.23
4.97,12.15,1007.2
7.08,18.44,3084.64
1004.44,18.21,1007.74
7000.93,18.26,6999.46
5.75,13.98,1036.19
4.98,12.04,3.22
5.29,12.24,3846.79
4.95,15.15,3.66
3003.48,11.86,3.12
1006.65,11.92,1008.09
4.89,11.8,1104.71
5.12,11.99,3.19
4.87,12.1,1122.32
3003.35,14.9,3.13
1006.7,12.12,3.15
1004.63,11.91,3.14
1006.51,18.24,1014.04
1005.94,12.11,3.62
4.98,18.8,3.17
1004.61,12.3,3121.5
3003.62,12.06,3.2
1004.61,11.82,3.18
1004.62,13.17,1030.02
1004.32,12.25,3.09
4.95,12.39,3.54
1004.54,1092.59,3.12
5.28,1035.53,3.2
3004.05,12.05,3.17
1004.67,1847.23,1027.38
5.01,12.36,3.83
5.15,11.81,1015.79
6.27,11.9,3.85
1005.5,1245.55,3002.19
6.16,7026.49,4.46
5.0,14.42,3.13
4.94,3093.62,1030.08
4.95,3030.2,1013.06
1004.77,1037.07,3.61
7000.44,11.93,1008.18
3003.24,1037.93,1266.43
1005.41,1015.79,1038.46
1006.68,11.96,3.15
5.04,3103.37,3.16
4.93,13.94,3.11
4.99,1036.97,4.43
6.24,18.21,3.95
3002.8,1019.58,3.12
4.96,11.92,3.11
5.03,1257.33,3.42
4.93,11.91,1023.63
4.98,12.07,3.55
4.94,12.56,4.48
1004.53,13.58,1030.97
5.03,3090.3,4.47
7.08,3193.32,3.11
7.04,12.71,1009.05
1004.6,1019.1,8414.13
4.93,12.09,1028.62
4.97,1019.89,3.12
3003.01,18.21,3.2
5.62,1475.49,3.16
5.01,1202.64,3.2
7.14,1014.42,1121.61
4.97,11.99,3.21
1005.22,18.27,4.46
1005.22,11.86,3002.49
