P-521,p521_mlkem1024,mlkem1024
3.83,10.87,3024.07
5.18,2200.01,3144.91
5.15,11.55,2.09
4.19,11.26,34.09
5.08,2089.47,3027.61
4.08,12.73,2.27
4.03,12.86,2.16
5.03,10.8,2.21
5.2,3016.73,3.16
4.05,10.92,2.02
5.13,11.41,2.36
5.81,7176.44,2000.14
5.05,47.73,2.11
4.04,16.16,1.88
3.88,11.91,1.85
3.94,10.96,2.15
5.12,10.81,1.92
5.18,48.12,2.42
5.03,11.06,2.5
4.16,40.44,2.45
3.96,10.79,1.88
3.96,3063.84,3.31
5.87,11.99,2.38
4.02,17.33,3026.99
4.01,11.35,2154.14
4.01,81.03,2.12
5.13,10.71,2.17
3.91,16.98,2000.58
3.91,7032.91,2.23
3.93,14.9,57.87
4.07,44.52,2.08
5.18,2034.65,3.43
5.22,13.4,2.35
3.98,13.95,2.23
6.44,40.84,2.01
5.88,3036.84,
4.45,11.01,
4.59,11.46,
4.18,,
