timestamp,protocol,auth_mode,sig_alg,kem,network_profile,role,n_runs,cpu_usec_total,cpu_usec_per_handshake,mem_peak_bytes,block_index,n_blocks,seed
2026-08-22T12:20:50+01:00,tls,single,mldsa87,P-521,simple,server,125,892482,7139.856,6512640,1,4,3001
2026-08-22T12:20:50+01:00,tls,single,mldsa87,P-521,simple,client,125,5926817,47414.536,5644288,1,4,3001
2026-08-22T12:22:15+01:00,tls,single,mldsa44,x25519_hqc128,simple,server,125,3468168,27745.344,6963200,1,4,3001
2026-08-22T12:22:15+01:00,tls,single,mldsa44,x25519_hqc128,simple,client,125,9343580,74748.640,5844992,1,4,3001
2026-08-23T06:40:41+01:00,tls,single,ed25519,P-256,simple,server,125,381498,3051.984,6328320,2,4,3001
2026-08-23T06:40:41+01:00,tls,single,ed25519,P-256,simple,client,125,3465205,27721.640,5664768,2,4,3001
2026-08-23T06:42:14+01:00,tls,single,mldsa87,p521_mlkem1024,simple,server,125,1136937,9095.496,6889472,2,4,3001
2026-08-23T06:42:14+01:00,tls,single,mldsa87,p521_mlkem1024,simple,client,125,4927265,39418.120,5513216,2,4,3001
2026-08-23T06:43:36+01:00,tls,single,secp384r1,hqc192,simple,server,125,5715415,45723.320,6524928,2,4,3001
2026-08-23T06:43:36+01:00,tls,single,secp384r1,hqc192,simple,client,125,7913640,63309.120,5644288,2,4,3001
2026-08-23T06:45:15+01:00,tls,single,mldsa65,hqc192,simple,server,125,4861461,38891.688,6565888,2,4,3001
2026-08-23T06:45:15+01:00,tls,single,mldsa65,hqc192,simple,client,125,9549684,76397.472,5599232,2,4,3001
2026-08-23T06:46:28+01:00,tls,single,secp521r1,p521_mlkem1024,simple,server,125,1129546,9036.368,6750208,2,4,3001
2026-08-23T06:46:28+01:00,tls,single,secp521r1,p521_mlkem1024,simple,client,125,4745771,37966.168,5443584,2,4,3001
2026-08-23T06:47:50+01:00,tls,single,ed25519,x25519_hqc128,simple,server,125,2530227,20241.816,6479872,2,4,3001
2026-08-23T06:47:50+01:00,tls,single,ed25519,x25519_hqc128,simple,client,125,5426757,43414.056,5435392,2,4,3001
2026-08-23T06:49:05+01:00,tls,single,mldsa65,mlkem768,simple,server,125,416792,3334.336,6529024,2,4,3001
2026-08-23T06:49:05+01:00,tls,single,mldsa65,mlkem768,simple,client,125,3173733,25389.864,5361664,2,4,3001
2026-08-23T06:50:20+01:00,tls,single,mldsa65,x448,simple,server,125,559389,4475.112,6488064,2,4,3001
