procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
23  2      0 15373048 255196 5675328    0    0     0  1148 12355 15722 90 10  0  0  0  0
22  0      0 15383508 255204 5675376    0    0     0   952 11770 13561 89 11  0  0  0  0
26  1      0 15382720 255216 5675612    0    0     0   556 14284 20519 87 13  0  0  0  0
16 10      0 15408536 255220 5675532    0    0     0  2136 13470 19795 89 11  0  0  0  0
19  3      0 15399564 255220 5675580    0    0     0  1248 12143 14287 89 11  0  0  0  0
13 17      0 15403400 255232 5675580    0    0     0  1440 12143 15051 90 10  0  0  0  0
16  1      0 15392560 255264 5675620    0    0     0  1008 12670 14686 89 11  0  0  0  0
12  2      0 15404372 255272 5675764    0    0     0  2028 12439 15421 88 12  0  0  0  0
12  1      0 15379892 255280 5675756    0    0     0   448 12532 16490 91  9  0  0  0  0
26  2      0 15402940 255300 5675792    0    0     0  1564 12187 14848 89 11  0  0  0  0
15  3      0 15398356 255316 5675748    0    0     0  1932 11474 12811 90 10  0  0  0  0
16  1      0 15395844 255348 5675716    0    0     0   680 13220 18967 89 12  0  0  0  0
13  1      0 15379348 255356 5675844    0    0     0  1828 12165 14789 90 10  0  0  0  0
17  1      0 15404088 255372 5675840    0    0     0  1300 11891 13184 90 10  0  0  0  0
17  1      0 15390680 255380 5675904    0    0     0   492 12815 16205 89 11  0  0  0  0
16  1      0 15398632 255388 5676092    0    0     0  1896 14351 20581 89 11  0  0  0  0
15  1      0 15391936 255408 5676092    0    0     0  1728 11983 15171 89 11  0  0  0  0
18  1      0 15373832 255416 5676204    0    0     0   316 13441 18063 89 11  0  0  0  0
26  3      0 15410020 255432 5676296    0    0     0   952 13453 19848 88 12  0  0  0  0
15  3      0 15409256 255448 5676280    0    0     0  2724 10988 10716 91  9  0  0  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
28  0      0 15389844 255452 5676312    0    0     0   692 13012 18913 91 10  0  0  0  0
13  1      0 15380864 255464 5676392    0    0     0   776 13066 17554 88 11  0  0  0  0
15 19      0 15370040 255476 5676536    0    0     0   832 13894 18874 89 11  0  0  0  0
15  3      0 15401404 255480 5676600    0    0     0  1424 10818 11899 86  9  0  4  0  0
17  1      0 15385092 255496 5676592    0    0     0  1500 11701 12326 90 10  0  0  0  0
14  1      0 15377572 255500 5676636    0    0     0   280 14114 21506 88 12  0  0  0  0
22  8      0 15376236 255516 5676768    0    0     0  2096 13128 17509 89 11  0  0  0  0
15  2      0 15372372 255528 5676756    0    0     0  1356 11431 13014 89 11  0  0  0  0
17  0      0 15385320 255564 5676524    0    0     0   528 13729 18805 89 11  0  0  0  0
25  0      0 15385628 255572 5676520    0    0     0   684 13451 17498 89 11  0  0  0  0
16  1      0 15374912 255576 5676624    0    0     0  1804 13853 19226 90  9  0  0  0  0
24  1      0 15381752 255592 5676728    0    0     0  1236 12653 16377 88 12  0  0  0  0
17  1      0 15376528 255596 5676724    0    0     0   468 14588 21968 89 11  0  0  0  0
21  1      0 15399148 255604 5676860    0    0     0  1976 11383 11659 90 10  0  0  0  0
15  1      0 15404196 255612 5676856    0    0     0  1532 15222 22888 88 11  0  0  0  0
16  3      0 15388172 255616 5676852    0    0     0  1588 13649 18872 88 12  0  0  0  0
19  2      0 15412168 255624 5676820    0    0     0  1408 11907 15068 87 10  0  3  0  0
15 17      0 15401072 255624 5676840    0    0     0  1860 12074 14157 88 12  0  0  0  0
15  3      0 15406044 255632 5676856    0    0     0  1120 11995 13602 90 10  0  0  0  0
12  3      0 15404508 255656 5676860    0    0     0  1568 11390 12987 89 10  0  0  0  0
14  2      0 15410912 255676 5676744    0    0     0   840 12668 16191 89 11  0  0  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
19  3      0 15431196 255680 5676744    0    0     0  1228 12460 17128 81 11  0  7  0  0
14  1      0 15422672 255688 5676764    0    0     0  2132 10680 10767 90  9  0  2  0  0
13  1      0 15425772 255700 5677048    0    0     0   888 16289 13213 89 11  0  0  0  0
16  1      0 15406412 255712 5677132    0    0     0   528 16117 17776 89 11  0  0  0  0
18  2      0 15393248 255732 5677172    0    0     0  1484 12643 15606 89 11  0  0  0  0
