Linux 6.17.0-19-generic (tolokoum-HP-ProBook-640-G4) 	04/06/2026 	_x86_64_	(8 CPU)

08:16:29     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:18:27     all   89,32    0,00   10,06    0,00    0,00    0,37    0,00    0,00    0,00    0,25
08:18:28     all   89,64    0,12    9,86    0,00    0,00    0,12    0,00    0,00    0,00    0,25
08:18:29     all   89,22    0,00   10,53    0,00    0,00    0,25    0,00    0,00    0,00    0,00
08:18:30     all   88,76    0,12   10,99    0,00    0,00    0,12    0,00    0,00    0,00    0,00
08:18:31     all   88,76    0,00   11,11    0,00    0,00    0,12    0,00    0,00    0,00    0,00
08:18:32     all   88,61    0,00   10,89    0,00    0,00    0,00    0,00    0,00    0,00    0,50
08:18:33     all   89,24    0,00   10,64    0,00    0,00    0,13    0,00    0,00    0,00    0,00
08:18:34     all   89,46    0,13   10,29    0,00    0,00    0,13    0,00    0,00    0,00    0,00
08:18:35     all   91,04    0,00    8,83    0,00    0,00    0,12    0,00    0,00    0,00    0,00
08:18:36     all   88,22    0,13   11,03    0,00    0,00    0,25    0,00    0,00    0,00    0,38
08:18:37     all   88,26    0,00   11,61    0,00    0,00    0,12    0,00    0,00    0,00    0,00
08:18:38     all   86,47    0,13    9,02    4,39    0,00    0,00    0,00    0,00    0,00    0,00
08:18:39     all   89,88    0,00    9,75    0,00    0,00    0,25    0,00    0,00    0,00    0,12
08:18:40     all   88,35    0,00   11,65    0,00    0,00    0,00    0,00    0,00    0,00    0,00
08:18:41     all   88,76    0,00   10,74    0,00    0,00    0,25    0,00    0,00    0,00    0,25
08:18:42     all   88,51    0,00   11,11    0,00    0,00    0,25    0,00    0,00    0,00    0,12
08:18:43     all   89,49    0,13   10,26    0,00    0,00    0,00    0,00    0,00    0,00    0,13
08:18:44     all   88,40    0,00   10,97    0,00    0,00    0,37    0,00    0,00    0,00    0,25
08:18:45     all   89,75    0,12    9,75    0,00    0,00    0,25    0,00    0,00    0,00    0,12
08:18:46     all   89,22    0,00   10,65    0,00    0,00    0,00    0,00    0,00    0,00    0,13
08:18:47     all   87,86    0,00   12,02    0,00    0,00    0,13    0,00    0,00    0,00    0,00
08:18:48     all   90,25    0,12    9,25    0,00    0,00    0,12    0,00    0,00    0,00    0,25
08:18:49     all   87,75    0,12   11,88    0,12    0,00    0,12    0,00    0,00    0,00    0,00
08:18:50     all   87,97    0,00   11,90    0,13    0,00    0,00    0,00    0,00    0,00    0,00
08:18:51     all   86,38    0,00   10,38    3,00    0,00    0,25    0,00    0,00    0,00    0,00
08:18:52     all   88,75    0,00   11,12    0,00    0,00    0,00    0,00    0,00    0,00    0,12
08:18:53     all   89,75    0,00    9,75    0,25    0,00    0,25    0,00    0,00    0,00    0,00
08:18:54     all   89,26    0,12    9,86    0,50    0,00    0,25    0,00    0,00    0,00    0,00
08:18:55     all   88,68    0,00   10,82    0,00    0,00    0,25    0,00    0,00    0,00    0,25
08:18:56     all   81,03    0,00   11,81    6,66    0,00    0,00    0,00    0,00    0,00    0,50
08:18:57     all   89,59    0,13    8,66    1,38    0,00    0,13    0,00    0,00    0,00    0,13
08:18:58     all   89,76    0,00    9,74    0,12    0,00    0,25    0,00    0,00    0,00    0,12
08:18:59     all   87,73    0,13   11,76    0,00    0,00    0,13    0,00    0,00    0,00    0,25
08:19:00     all   89,49    0,00   10,26    0,00    0,00    0,13    0,00    0,00    0,00    0,13
08:19:01     all   90,11    0,00    9,89    0,00    0,00    0,00    0,00    0,00    0,00    0,00
08:19:02     all   87,97    0,13   11,40    0,25    0,00    0,13    0,00    0,00    0,00    0,13
08:19:03     all   82,25    0,00   11,75    4,88    0,00    0,00    0,00    0,00    0,00    1,12
08:19:04     all   89,66    0,12    9,59    0,00    0,00    0,25    0,00    0,00    0,00    0,37
08:19:05     all   89,75    0,00   10,12    0,00    0,00    0,12    0,00    0,00    0,00    0,00
08:19:06     all   88,61    0,00   11,26    0,13    0,00    0,00    0,00    0,00    0,00    0,00
08:19:07     all   89,53    0,12    9,85    0,00    0,00    0,37    0,00    0,00    0,00    0,12
08:19:08     all   90,10    0,00    9,77    0,13    0,00    0,00    0,00    0,00    0,00    0,00
08:19:09     all   87,44    0,00   12,19    0,00    0,00    0,12    0,00    0,00    0,00    0,25
08:19:10     all   89,59    0,13    9,91    0,00    0,00    0,25    0,00    0,00    0,00    0,13
08:19:11     all   88,74    0,00   11,01    0,00    0,00    0,13    0,00    0,00    0,00    0,13
08:19:12     all   89,17    0,12   10,46    0,00    0,00    0,12    0,00    0,00    0,00    0,12
08:19:13     all   88,47    0,13   11,28    0,00    0,00    0,13    0,00    0,00    0,00    0,00
08:19:14     all   90,51    0,00    9,24    0,00    0,00    0,12    0,00    0,00    0,00    0,12
08:19:15     all   88,97    0,13   10,78    0,00    0,00    0,13    0,00    0,00    0,00    0,00
08:19:16     all   88,22    0,00   11,65    0,00    0,00    0,00    0,00    0,00    0,00    0,13
08:19:17     all   90,62    0,00    9,25    0,00    0,00    0,00    0,00    0,00    0,00    0,12
08:19:18     all   89,51    0,12   10,11    0,00    0,00    0,25    0,00    0,00    0,00    0,00
08:19:19     all   87,88    0,00   11,75    0,00    0,00    0,38    0,00    0,00    0,00    0,00
08:19:20     all   89,14    0,12   10,74    0,00    0,00    0,00    0,00    0,00    0,00    0,00
08:19:21     all   89,53    0,00   10,22    0,00    0,00    0,25    0,00    0,00    0,00    0,00
08:19:22     all   90,30    0,13    9,57    0,00    0,00    0,00    0,00    0,00    0,00    0,00
08:19:23     all   88,04    0,00   11,71    0,00    0,00    0,12    0,00    0,00    0,00    0,12
08:19:24     all   90,24    0,00    9,76    0,00    0,00    0,00    0,00    0,00    0,00    0,00
08:19:25     all   89,50    0,12   10,00    0,00    0,00    0,12    0,00    0,00    0,00    0,25
08:19:26     all   88,56    0,00   10,82    0,00    0,00    0,25    0,00    0,00    0,00    0,37
08:19:27     all   89,21    0,00   10,66    0,00    0,00    0,00    0,00    0,00    0,00    0,13
08:19:28     all   88,50    0,00   11,25    0,00    0,00    0,25    0,00    0,00    0,00    0,00
08:19:29     all   89,90    0,00    9,60    0,00    0,00    0,37    0,00    0,00    0,00    0,12
08:19:30     all   89,72    0,13   10,15    0,00    0,00    0,00    0,00    0,00    0,00    0,00
08:19:31     all   88,24    0,00   11,76    0,00    0,00    0,00    0,00    0,00    0,00    0,00
08:19:32     all   90,12    0,00    9,75    0,00    0,00    0,00    0,00    0,00    0,00    0,12
08:19:33     all   87,77    0,12   11,99    0,00    0,00    0,12    0,00    0,00    0,00    0,00
08:19:34     all   89,50    0,00   10,25    0,00    0,00    0,25    0,00    0,00    0,00    0,00
08:19:35     all   89,50    0,12   10,38    0,00    0,00    0,00    0,00    0,00    0,00    0,00
08:19:36     all   90,99    0,00    8,64    0,13    0,00    0,13    0,00    0,00    0,00    0,13
08:19:37     all   89,00    0,00   10,88    0,00    0,00    0,12    0,00    0,00    0,00    0,00
08:19:38     all   88,36    0,13   11,51    0,00    0,00    0,00    0,00    0,00    0,00    0,00
08:19:39     all   89,84    0,00    9,91    0,00    0,00    0,13    0,00    0,00    0,00    0,13
08:19:40     all   89,53    0,00   10,10    0,00    0,00    0,25    0,00    0,00    0,00    0,12
08:19:41     all   89,12    0,12   10,62    0,00    0,00    0,12    0,00    0,00    0,00    0,00
