P-521,p521_mlkem1024,mlkem1024
5.05,11.86,3.54
1005.56,1013.65,3.52
1005.51,11.82,3.12
3002.62,12.37,3.51
1004.79,1038.34,3.26
6.88,18.2,3.22
5.0,13.08,3.57
1004.65,1011.67,1015.9
1004.52,18.59,3.25
5.02,1036.77,3.06
1004.58,1036.65,3001.77
7.16,11.97,1002.8
3003.53,3012.02,3.17
1005.76,1013.0,3.17
7000.74,15.24,1192.31
7.05,11.96,3.19
1004.63,11.99,3.21
5.39,1014.74,3.25
7.06,1068.8,3.15
5.27,11.85,4.48
6999.07,12.04,1009.41
7.04,1013.14,1008.4
5.08,3976.35,4.48
1005.99,11.93,4.85
1004.91,11.86,3.71
1004.74,12.1,1007.57
4.98,1040.59,3001.62
1004.19,12.02,4.45
4.96,12.65,1030.71
6.91,11.92,3.22
1004.46,1011.71,4.47
5.14,3009.55,1030.77
3005.57,11.85,4.43
3004.59,12.3,3.62
4.86,3024.8,4.8
5.39,,3.14
1004.52,1089.78,1007.68
3003.72,12.13,1041.06
5.18,11.77,1085.12
1006.67,1035.83,3.19
4.99,11.87,1030.77
1005.42,3009.5,2009.16
1006.73,12.01,3.2
5.16,13.71,1036.77
7000.71,18.51,3.31
1004.41,11.81,3.71
4.97,12.04,3.19
5.85,13.14,3.19
1004.48,14.2,1014.24
4.96,1022.82,1031.36
5.71,1041.35,3.68
4.93,,3.27
5.01,9054.25,3.19
1004.56,11.9,4.05
1004.54,13.28,3.15
7.12,1035.6,3029.1
5.02,11.95,6999.2
,11.86,4.5
7000.89,12.43,1008.57
1005.93,3054.34,3.2
4.96,12.91,9150.59
4.99,12.32,3.2
1005.86,1037.27,3.1
3002.61,11.87,1084.29
7000.64,1410.56,3000.92
1004.6,12.13,3.65
4.88,1083.78,1111.58
6.89,18.16,3.19
1004.57,12.21,3.54
7.04,1022.42,4.5
4.98,18.25,3.3
1006.75,13.29,3.27
6.23,1129.19,1101.02
3004.92,1011.8,3.28
5.07,1037.08,1030.1
6.22,11.86,1030.46
1006.3,12.77,3.41
5.15,1019.12,3008.75
5.05,18.17,3.19
6.22,12.45,1709.6
5.1,1183.01,3.18
5.12,11.92,3002.54
5.01,1040.22,1051.31
5.4,11.93,3000.97
,18.65,3.24
4.97,2026.45,3.23
7.18,11.85,3.26
