P-384,x448,hqc192,p384_hqc192,x448_hqc192
75.23,74.0,115.41,806.33,119.7
77.43,74.03,116.59,124.41,804.13
75.24,73.99,115.35,124.26,117.76
75.28,74.85,115.29,123.95,117.67
75.45,75.17,114.91,124.38,135.01
75.34,73.82,127.81,126.05,118.38
77.34,74.02,123.19,124.54,117.85
75.31,74.01,130.28,124.12,117.79
77.6,74.01,115.13,124.39,133.28
75.38,74.17,115.05,141.2,117.71
75.41,73.77,115.51,128.18,118.87
77.47,73.8,121.83,124.42,118.38
75.38,73.98,115.46,142.16,133.48
75.32,73.91,115.24,132.17,117.91
75.31,74.0,116.59,124.11,117.9
77.43,74.07,115.6,124.28,123.74
75.44,73.83,119.73,124.34,117.79
75.28,74.68,115.26,136.9,119.93
75.78,74.72,115.27,146.01,117.96
75.33,73.84,115.28,134.75,117.99
75.47,73.88,115.26,124.28,118.15
75.26,73.88,115.27,134.66,132.89
75.31,73.87,116.4,124.0,118.66
77.32,73.81,115.19,124.4,117.72
75.79,73.92,115.09,124.39,117.85
75.36,73.84,146.08,134.72,117.82
77.38,74.05,117.03,124.39,136.99
75.18,1073.18,117.53,127.16,120.43
75.23,73.87,115.14,124.13,118.31
75.37,74.15,115.59,124.28,118.43
75.34,76.26,119.48,124.66,117.73
75.32,73.8,115.97,124.42,118.4
