P-521,hqc256,p521_hqc256
405.5,1911.7,1934.09
406.7,2696.24,1933.98
405.37,1911.22,1921.82
405.31,1911.15,1930.4
405.3,1911.53,1921.5
405.23,1911.92,1920.6
405.3,1929.37,3563.12
405.39,2678.31,1921.43
405.29,1911.03,1923.04
405.31,1911.99,3324.76
407.41,1911.28,1931.64
