P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
1072.2,72.15,86.14,92.65,87.24
72.11,71.98,87.47,92.63,88.0
72.04,72.3,86.4,93.16,87.95
72.39,72.29,86.12,95.19,87.55
72.22,71.9,85.94,92.65,87.3
72.06,71.95,87.13,94.98,92.84
72.13,71.88,86.43,93.13,87.34
72.09,71.9,86.15,92.67,727.02
72.23,72.05,87.55,93.2,87.46
72.13,71.99,87.66,92.99,87.37
71.95,71.97,86.08,92.93,97.79
72.19,72.29,86.57,92.81,87.28
72.12,71.95,85.93,103.46,87.56
72.0,72.0,87.92,93.65,99.21
72.05,71.91,87.75,92.57,87.47
1071.74,71.89,86.23,92.59,87.52
72.13,71.93,86.04,93.26,87.4
72.04,72.3,87.41,92.69,87.56
72.14,71.95,86.48,731.01,92.81
72.21,72.24,88.91,93.06,87.31
72.34,72.16,86.01,93.15,87.37
72.03,72.19,86.09,92.83,87.44
72.05,72.22,726.1,92.75,88.32
72.16,1071.54,87.61,103.8,87.43
72.29,72.01,88.43,92.87,99.66
72.08,72.0,726.31,103.45,87.44
72.09,72.11,85.99,93.29,87.28
73.04,71.88,87.97,103.8,87.3
72.79,71.88,86.08,92.61,87.53
72.14,72.16,86.02,93.24,727.38
72.05,72.47,86.03,92.55,87.64
72.2,72.7,86.56,92.67,90.96
72.81,71.93,86.04,98.11,94.1
72.32,72.3,86.04,98.7,87.51
72.77,72.3,86.08,93.41,87.27
72.11,72.01,87.47,92.85,100.37
1071.59,72.0,86.53,93.31,87.32
72.14,71.95,92.66,92.72,87.48
72.07,71.99,93.12,99.13,87.49
72.22,72.24,86.11,103.73,87.77
72.05,1072.46,92.53,93.6,92.03
72.08,71.97,86.13,92.7,94.6
72.52,71.98,92.51,93.29,87.8
72.28,72.09,88.61,92.71,87.35
72.54,72.03,86.1,92.54,87.31
72.53,71.99,86.47,92.7,87.58
72.55,72.0,92.83,93.49,87.33
72.0,71.89,86.72,93.01,87.39
72.17,71.86,86.16,93.42,87.41
72.07,71.99,86.08,92.8,87.56
72.17,72.07,87.45,92.74,87.28
72.06,72.33,86.53,93.13,99.36
72.32,71.95,86.18,92.84,87.52
72.04,1072.18,97.24,93.19,95.5
72.66,71.81,86.73,92.94,87.41
71.96,72.25,86.14,93.22,87.69
72.06,72.22,86.15,93.09,87.69
72.7,72.92,86.72,92.95,87.45
72.51,72.28,86.79,92.61,99.1
72.12,71.98,87.43,93.33,87.39
72.21,72.22,86.06,92.6,87.7
72.19,72.04,91.42,103.95,87.21
72.06,71.99,86.3,92.78,89.53
72.67,71.97,86.09,93.35,87.36
71.97,72.37,90.88,92.74,88.17
72.2,71.95,90.46,92.75,88.01
72.59,71.94,86.08,92.84,93.6
72.47,71.94,86.03,92.91,99.13
72.1,72.12,86.58,92.73,99.26
72.52,72.04,86.1,92.78,87.48
1071.79,72.27,86.15,104.16,87.75
72.08,72.32,86.53,92.51,87.28
71.96,72.02,86.55,92.61,87.63
72.18,72.2,86.06,732.15,87.38
72.17,72.25,101.38,93.47,90.17
72.1,71.92,93.05,92.76,87.48
71.94,71.88,86.24,92.72,87.41
72.69,72.01,90.6,92.73,94.14
72.65,72.31,88.16,93.24,87.56
72.52,72.27,86.24,97.57,87.58
72.15,72.0,86.09,103.5,87.5
72.16,72.16,90.59,103.58,87.52
71.97,72.03,86.47,93.75,87.4
72.53,72.03,727.37,92.62,87.45
72.18,72.03,87.0,93.62,99.26
72.11,71.9,92.57,104.54,89.8
72.15,71.98,86.11,95.08,87.45
72.21,72.07,86.02,93.07,87.48
72.22,72.77,92.87,103.51,92.78
71.99,72.12,87.42,92.78,87.49
72.1,71.99,92.7,95.0,87.5
72.01,72.09,97.2,92.67,87.43
1071.68,72.12,97.17,103.67,87.51
72.2,72.29,86.06,103.5,87.38
72.14,71.98,92.57,93.25,88.17
72.07,71.93,86.15,97.61,87.6
71.99,72.33,86.8,92.77,97.66
72.19,72.14,86.39,731.05,97.77
72.11,72.43,86.28,94.84,87.38
72.18,72.72,86.38,103.66,88.75
72.11,71.96,86.15,92.66,87.35
1071.79,72.02,86.42,92.83,87.26
72.66,72.06,86.09,92.7,87.54
72.14,72.0,93.0,92.72,87.5
72.13,72.08,86.05,103.72,89.46
72.2,71.94,85.96,92.67,87.37
72.15,72.14,87.17,92.72,89.74
72.22,71.94,86.36,92.94,92.16
72.1,72.47,86.25,92.57,87.36
72.42,72.02,92.7,92.72,94.39
72.06,72.61,88.28,92.74,92.98
72.58,71.95,86.23,93.45,100.37
72.31,72.6,92.65,92.75,87.28
72.03,72.72,87.47,92.55,87.36
72.07,71.97,86.48,95.36,87.62
72.76,71.98,92.59,100.0,88.24
72.67,71.95,86.24,92.78,87.9
72.22,1071.94,86.92,92.68,87.73
72.3,72.04,86.03,92.74,87.75
72.48,72.04,86.07,92.62,87.36
72.74,72.28,86.39,92.7,88.73
72.35,71.98,86.28,92.83,91.32
72.22,71.97,86.21,92.57,87.34
72.13,72.08,86.09,103.45,87.31
72.84,72.06,85.9,92.8,99.13
72.09,72.26,89.11,92.66,87.87
72.03,73.06,86.3,92.78,87.25
72.0,72.51,85.96,92.71,88.5
72.25,72.06,89.61,92.97,87.77
72.55,72.09,86.02,96.1,87.44
72.44,72.51,87.59,92.66,95.76
72.14,71.94,86.17,92.63,89.76
72.21,72.18,86.81,94.24,95.42
72.31,71.98,86.39,92.57,87.37
72.11,72.57,90.59,97.59,87.92
72.43,71.97,86.12,95.19,87.47
