Linux 6.17.0-19-generic (tolokoum-HP-ProBook-640-G4) 	04/06/2026 	_x86_64_	(8 CPU)

02:23:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:25:04     all   19,29    0,13    4,04   23,71    0,00    0,00    0,00    0,00    0,00   52,84
02:25:05     all   18,22    0,13    3,64   11,93    0,00    0,13    0,00    0,00    0,00   65,95
02:25:06     all   21,01    0,00    4,78    9,18    0,00    0,13    0,00    0,00    0,00   64,91
02:25:07     all   21,84    0,00    4,67   10,48    0,00    0,00    0,00    0,00    0,00   63,01
02:25:08     all   21,34    0,00    5,93    8,71    0,00    0,00    0,00    0,00    0,00   64,02
02:25:09     all   20,85    0,00    4,52   16,33    0,00    0,00    0,00    0,00    0,00   58,29
02:25:10     all   18,62    0,13    3,90   17,99    0,00    0,13    0,00    0,00    0,00   59,25
02:25:11     all   20,48    0,00    4,93    8,47    0,00    0,00    0,00    0,00    0,00   66,12
02:25:12     all   22,22    0,00    4,80   20,45    0,00    0,00    0,00    0,00    0,00   52,53
02:25:13     all   19,80    0,00    4,92    8,95    0,00    0,13    0,00    0,00    0,00   66,20
02:25:14     all   21,73    0,25    6,03   11,56    0,00    0,00    0,00    0,00    0,00   60,43
02:25:15     all   17,84    0,00    3,27   19,35    0,00    0,13    0,00    0,00    0,00   59,42
02:25:16     all   21,21    0,13    5,05   10,23    0,00    0,00    0,00    0,00    0,00   63,38
02:25:17     all   22,67    0,13    5,67   12,85    0,00    0,00    0,00    0,00    0,00   58,69
02:25:18     all   19,14    0,00    3,80   11,53    0,00    0,00    0,00    0,00    0,00   65,53
02:25:19     all   21,94    0,00    6,31    8,95    0,00    0,00    0,00    0,00    0,00   62,80
02:25:20     all   18,73    0,00    4,12   17,98    0,00    0,12    0,00    0,00    0,00   59,05
02:25:21     all   24,68    0,13    5,82    8,61    0,00    0,00    0,00    0,00    0,00   60,76
02:25:22     all   19,62    0,00    5,03   10,57    0,00    0,00    0,00    0,00    0,00   64,78
02:25:23     all   19,37    0,00    4,15   11,07    0,00    0,00    0,00    0,00    0,00   65,41
02:25:24     all   22,35    0,13    6,06    9,34    0,00    0,00    0,00    0,00    0,00   62,12
02:25:25     all   19,02    0,13    4,01   21,65    0,00    0,25    0,00    0,00    0,00   54,94
02:25:26     all   23,03    0,13    5,51    9,89    0,00    0,25    0,00    0,00    0,00   61,20
02:25:27     all   21,77    0,13    5,95   10,13    0,00    0,00    0,00    0,00    0,00   62,03
02:25:28     all   19,25    0,00    4,40   12,45    0,00    0,00    0,00    0,00    0,00   63,90
02:25:29     all   20,63    0,13    4,94    8,23    0,00    0,13    0,00    0,00    0,00   65,95
02:25:30     all   19,17    0,00    4,51   18,80    0,00    0,00    0,00    0,00    0,00   57,52
02:25:31     all   23,70    0,00    5,45    8,37    0,00    0,00    0,00    0,00    0,00   62,48
02:25:32     all   22,24    0,25    6,03   10,68    0,00    0,13    0,00    0,00    0,00   60,68
02:25:33     all   19,72    0,00    4,42   12,64    0,00    0,00    0,00    0,00    0,00   63,21
02:25:34     all   20,40    0,13    4,88    9,76    0,00    0,00    0,00    0,00    0,00   64,83
02:25:35     all   19,34    0,00    4,30   15,42    0,00    0,00    0,00    0,00    0,00   60,94
02:25:36     all   22,50    0,00    4,55   11,25    0,00    0,13    0,00    0,00    0,00   61,57
02:25:37     all   21,55    0,13    5,58    8,62    0,00    0,00    0,00    0,00    0,00   64,13
