procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  1      0 13231580 235500 5968456    0    0     0   940 8925 17582 11  7 64 17  0  0
 3  1      0 13223416 235520 5972696    0    0     0   680 9594 16339 11  8 72  9  0  0
 5  5      0 13231044 235536 5972756    0    0     0  1748 8502 16929  9  8 51 32  0  0
 4  1      0 13241976 235540 5972800    0    0     0  1024 5766 5412  8  6 73 12  0  0
 5  1      0 13238968 235568 5977036    0    0     0   712 7292 10072  8  7 76  9  0  0
 2  2      0 13235088 235588 5977112    0    0     0  1744 11325 25963 12  8 63 17  0  0
 7  0      0 13221920 235596 5977148    0    0     0  1152 5839 5989  7  6 72 15  0  0
11  0      0 13215320 235608 5981448    0    0     0   532 8843 14593 10  8 73  9  0  0
 3  1      0 13202488 235620 5981536    0    0     0  1632 8045 15429  9  8 71 12  0  0
 4  1      0 13195104 235640 5981568    0    0     0  1308 6118 5514  7  6 75 12  0  0
 3  1      0 13205748 235664 5985872    0    0     0   716 10041 16450 13 10 69  9  0  0
 5  1      0 13197952 235676 5985928    0    0     0  1492 5676 4874  7  6 65 22  0  0
 4  1      0 13189580 235696 5990044    0    0     0  1048 8925 17151 11  7 67 15  0  0
 6  0      0 13183348 235704 5990244    0    0     0   428 10006 18013 11 10 71  8  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  1      0 13169180 235704 5990280    0    0     0  2036 7745 13875  9  8 66 17  0  0
 4  1      0 13167264 235728 5994448    0    0     0  1292 6946 8081  9  7 71 13  0  0
 2  1      0 13166492 235748 5994688    0    0     0  1356 9606 15596 11  9 71  9  0  0
 3  1      0 13160572 235760 5994740    0    0     0   756 8272 16600 10  6 49 35  0  0
 4  1      0 13154460 235776 5994808    0    0     0  1444 6931 10857  9  7 72 12  0  0
 0  1      0 13141560 235792 5999380    0    0     0  1488 12035 24086 12  9 70  9  0  0
 0  1      0 13142240 235792 5999408    0    0     0   864 5566 4464  7  6 59 28  0  0
 3  0      0 13141976 235824 5999460    0    0     0  1132 11091 23146 14 10 67  9  0  0
 5  2      0 13129712 235844 5999748    0    0     0  1976 10261 20302 10  8 69 12  0  0
 3  1      0 13143332 235852 5999788    0    0     0   980 8176 13290 10  8 68 15  0  0
 4  1      0 13144672 235892 6000064    0    0     0   756 7801 10631  9  7 75  9  0  0
 1  2      0 13157936 235912 5975568    0    0     0  1748 11914 24613 12  8 53 27  0  0
 0  1      0 13146580 235928 5975620    0    0     0  1260 8047 12743  9  7 71 13  0  0
13  1      0 13139540 235952 5975936    0    0     0   848 10099 16854 10  9 72  9  0  0
 3  1      0 13132844 235964 5976008    0    0     0  1624 7415 11721  9  8 63 21  0  0
 0  1      0 13149584 235988 5976068    0    0     0  1224 6764 7193  9  7 73 11  0  0
 4  2      0 13147780 236028 5976324    0    0     0  1752 8610 14631  9  8 72 11  0  0
